GeneID	control	control	control	control	control	perturbed	perturbed	perturbed	perturbed	perturbed
7105	2493	2099	2118	5704	5182	2753	2514	3254	3626	2842
64102	151	85	134	113	54	13	16	29	10	6
8813	3311	3025	3016	3655	3805	2848	2532	2996	3123	2527
57147	795	741	805	797	806	889	920	1135	1080	886
55732	247	198	206	237	264	219	241	269	220	177
2268	0	0	0	0	1	7	2	1	9	9
3075	2717	2246	2369	10989	8915	25202	24409	31169	23793	19434
2519	6426	5239	5736	7640	7042	9605	8759	11384	6498	4922
2729	1146	1005	1099	1692	1534	1016	991	1333	1984	1731
4800	1410	1111	1189	1045	951	1385	1433	1569	963	666
90529	391	345	386	341	380	298	293	400	346	330
57185	1533	1188	1428	2830	2936	1434	1485	2051	2330	1579
81887	1477	1168	1406	2113	2061	1845	1595	2086	2084	1565
22875	170	163	170	138	159	74	70	116	76	82
6405	152	117	155	527	405	198	160	207	281	202
1080	0	2	0	42	25	5	3	8	43	43
54467	7494	6140	7001	7411	6917	12028	11959	14876	10134	7963
1595	1322	984	1104	1111	1006	1070	909	1286	955	740
889	732	639	661	828	755	719	689	918	747	564
5893	561	458	552	500	484	510	482	684	548	481
84176	0	2	0	4	2	2	6	8	32	30
572	3015	2365	2508	3901	3607	1528	1283	1578	2506	1677
51056	5347	4751	4984	9801	9199	35867	34127	42376	31886	25691
4267	19503	15412	17574	34114	32008	16395	15280	20794	18304	13314
9957	0	0	0	0	0	0	0	0	1	0
26	0	0	0	0	0	0	0	0	0	0
51384	91	63	77	262	236	79	62	115	356	312
23072	86	65	109	178	141	133	144	192	111	93
8379	87	77	74	87	103	96	106	124	149	122
3927	11941	9581	11604	15271	15846	9606	9157	12011	12753	9076
29916	1284	924	1067	1543	1475	1542	1330	1726	1575	1256
55365	10	3	11	22	25	4	9	7	27	27
4074	4904	4164	4295	4201	3851	5598	4726	6274	4343	3582
90293	125	93	73	138	123	61	67	91	99	107
56603	0	1	0	18	11	14	16	15	83	103
3382	60	47	57	18	21	11	4	10	5	9
79007	16	12	7	228	191	36	33	39	315	260
57679	2776	2341	2595	3347	3329	2964	2792	3699	3431	2775
843	402	344	341	966	992	1163	1109	1532	1989	1502
8837	2506	2033	2469	3128	2950	3397	3465	4602	5539	4242
7035	1824	1445	1487	14865	12606	3975	3820	4783	8952	7249
55471	818	738	694	675	684	611	547	788	676	526
10181	4983	4255	4656	5800	5765	5201	4847	6464	6146	4746
9108	0	0	0	1	0	0	1	0	0	2
6542	1861	1701	1950	1067	1020	647	654	959	2614	2440
381	3777	3041	3266	3155	2983	2650	2147	2945	1932	1346
23098	290	237	306	218	286	269	249	268	237	190
26073	4741	3758	4251	6217	5906	5141	4641	5988	5679	4508
23129	6207	4641	6187	8260	9215	7021	6575	7971	9403	5636
204	9636	8627	9224	11828	12179	10614	9650	11192	10341	7596
952	0	0	0	2	10	19	12	22	91	78
2288	4673	4030	4366	5013	4783	5356	4504	5361	5238	3766
