GeneID	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	control	control	control	control	control	control
100287102	2	1	3	1	1	1	3	2	1	5	3	1
653635	112	36	63	73	81	64	48	44	99	138	81	93
102466751	2	1	1	1	1	1	1	0	1	4	3	2
107985730	2	0	4	1	1	2	2	2	2	9	3	4
100302278	1	0	1	0	0	0	0	0	0	4	1	1
645520	1	1	1	1	1	1	1	1	1	4	1	1
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	30	5	30	11	8	12	14	6	10	27	9	24
729737	161	50	74	75	93	91	55	55	96	139	98	121
102725121	5	1	6	3	1	1	4	5	3	7	4	1
102723897	125	44	71	72	87	71	51	49	112	155	85	100
102465909	2	1	1	1	1	1	1	0	1	4	1	3
107985721	8	1	9	2	8	4	6	4	5	22	6	9
112268260	0	0	3	2	1	2	5	0	1	3	0	1
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	87	35	64	50	64	50	39	39	73	109	72	87
105378947	0	0	0	0	0	0	0	0	0	1	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	950	212	437	473	601	254	959	356	488	1120	934	820
81399	0	1	1	0	0	1	4	1	1	2	0	0
100133331	81	27	52	42	50	41	36	31	64	93	54	70
107984841	37	6	32	11	5	13	22	13	11	41	12	26
107984847	60	10	39	26	12	21	46	24	18	49	15	52
107984849	6	1	5	1	1	1	4	2	1	3	2	10
100288069	40	10	39	23	14	14	22	16	8	40	12	33
105378580	5	2	6	0	2	1	8	2	1	8	2	4
400728	2	1	1	1	0	0	1	0	0	1	0	1
79854	12	5	7	2	6	6	12	2	6	21	11	8
643837	147	53	130	52	50	50	139	42	55	157	54	79
107984850	0	0	0	0	0	1	1	0	0	1	0	1
284593	1	0	1	1	0	1	2	0	0	3	0	0
284600	24	2	13	11	7	8	14	6	8	23	13	16
100130417	8	1	3	2	0	1	0	0	2	5	2	6
107985728	3	1	1	1	0	0	0	0	0	2	2	0
148398	97	29	72	62	34	44	43	34	50	82	36	54
26155	1924	694	1516	1137	876	898	804	747	1140	1426	940	1063
339451	91	41	40	67	72	69	27	47	97	108	82	83
84069	8	2	8	6	4	7	3	8	12	14	5	11
84808	3	0	2	0	0	0	0	1	2	1	0	1
57801	0	0	4	4	1	0	0	3	8	5	2	3
9636	49	22	15	52	42	40	16	14	92	68	36	47
375790	610	238	407	610	487	405	276	274	939	1003	455	671
100288175	10	3	8	9	5	7	7	5	8	25	5	11
112267874	4	0	4	3	6	3	5	1	8	6	2	3
105378948	12	5	13	10	7	14	11	9	15	31	8	17
401934	0	0	0	0	0	0	0	0	0	0	0	0
54991	31	11	10	18	19	19	5	9	26	32	28	24
254099	0	0	0	0	1	0	0	2	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	1	0	0	0	0	0	0	0	0	0	0
554210	1	0	0	2	0	0	0	1	0	0	0	0
100506376	0	3	0	2	0	5	2	0	1	5	1	0
254173	5	1	1	3	0	1	2	3	3	5	0	2
8784	1	0	1	1	0	2	2	1	12	4	5	1
7293	0	0	0	0	0	0	0	0	0	1	0	0
51150	631	214	420	371	351	369	253	196	505	624	320	400
126792	255	78	204	115	44	72	159	123	121	158	124	94
388581	2	0	2	1	11	7	1	1	6	2	4	9
118424	667	165	533	306	209	209	391	246	285	528	227	331
101928895	5	4	4	8	1	1	7	1	8	17	9	12
6339	12	6	9	10	6	13	4	6	22	29	15	21
116983	153	68	87	122	78	59	72	52	123	188	117	130
102465434	0	1	0	0	0	0	0	0	0	0	0	0
109623456	1	0	0	1	1	0	0	1	2	3	1	2
126789	152	56	83	123	84	97	66	63	158	128	104	101
54973	936	322	644	532	459	437	378	403	667	806	523	593
102465435	0	0	0	0	0	0	0	0	0	1	0	0
80772	52	24	41	51	21	35	22	36	49	37	31	41
83756	5	3	4	3	3	2	2	2	2	6	2	8
1855	229	115	127	211	184	159	81	127	261	248	221	209
102466740	0	0	0	0	1	0	0	0	0	0	0	0
54587	69	16	51	51	33	24	20	24	64	101	33	53
54998	634	255	388	401	388	356	164	253	523	555	399	380
81669	1186	346	932	614	408	329	1074	528	592	1788	658	771
