GeneID	control	control	perturbed	perturbed
100287102	5	3	7	6
653635	823	645	915	807
102466751	32	26	25	25
107985730	0	0	0	0
100302278	0	0	0	0
645520	1	1	1	1
79501	0	0	0	0
100996442	145	106	81	54
729737	1595	1266	828	753
102725121	8	5	5	6
102723897	984	717	1030	938
102465909	29	17	16	14
107985721	1	0	1	2
112268260	20	14	27	18
729759	0	0	1	1
100132287	647	491	361	328
105378947	4	2	9	4
101928626	0	0	0	0
113219467	1379	927	1420	1180
81399	6	7	13	9
100133331	445	338	273	255
107984841	112	69	63	50
107984847	174	93	84	80
107984849	52	19	10	11
100288069	117	91	68	64
105378580	27	28	31	26
400728	13	10	14	5
79854	25	11	17	20
643837	379	311	979	836
107984850	0	1	6	1
284593	2	2	4	2
284600	22	5	14	12
100130417	3	3	2	2
107985728	13	7	2	3
148398	303	179	587	479
26155	3618	2550	9584	7971
339451	592	467	740	660
84069	158	131	312	247
84808	34	21	44	34
57801	396	297	289	245
9636	2953	2318	3335	2704
375790	30468	21150	26692	22278
100288175	255	209	177	159
112267874	48	32	30	20
105378948	196	139	113	92
401934	5	1	1	1
54991	474	305	1138	922
254099	1	0	0	0
406984	3	1	3	4
406983	7	3	0	0
554210	1	2	2	4
100506376	0	0	1	0
254173	1	0	0	0
8784	2	0	2	1
7293	2	2	6	7
51150	4380	3102	5949	4907
126792	996	702	1506	1240
388581	15	19	29	14
118424	2353	1666	3563	2986
101928895	173	113	141	97
6339	408	302	382	346
116983	767	621	1867	1413
102465434	1	1	1	0
109623456	7	6	18	16
126789	433	378	909	735
54973	2609	2005	3773	2997
102465435	5	7	18	9
80772	984	714	1605	1308
83756	94	92	226	207
1855	5520	3934	5681	4860
102466740	1	4	8	6
54587	91	72	131	103
54998	2447	1711	3961	3152
81669	2154	1600	1952	1641
148413	431	333	535	465
55052	905	726	1795	1557
107984868	3	2	1	1
441869	2	3	1	0
105378585	0	0	0	0
643965	0	1	0	0
102724312	25	22	6	1
107985729	19	15	5	4
64856	1009	782	821	689
219293	47	56	238	193
83858	1034	816	5569	4588
55210	1507	1024	4499	3721
339453	13	13	25	32
29101	2687	2014	4864	4130
643988	228	153	270	258
105378586	18	13	23	18
142678	1799	1276	1676	1587
8510	59	34	93	78
984	2162	1531	2559	2221
728661	3925	2711	3153	2684
8511	15	11	18	16
728642	1454	1086	1752	1414
9906	1094	739	857	699
112268218	187	148	245	185
65220	2381	1868	3317	2700
2782	16930	13031	21630	18430
105378949	6	14	23	16
163688	6	8	4	5
339456	59	55	36	37
85452	0	0	0	0
107984872	0	2	0	0
105378589	0	1	0	0
2563	1	1	0	0
105378590	0	0	0	0
105378591	1	1	0	0
5590	1329	1048	1600	1276
100506504	100	52	106	79
199990	1089	822	1134	911
112268219	93	75	110	87
105378593	11	3	8	5
6497	3039	2141	5402	4517
79906	169	107	206	141
100129534	43	37	70	76
11079	3256	2535	6089	5103
5192	932	703	1001	836
9651	53	31	51	31
55229	856	615	1175	1029
388585	0	0	0	0
115110	104	104	58	59
8764	375	282	201	148
100996583	1	0	1	1
127281	1143	898	835	736
79258	147	118	106	90
105378597	0	0	2	1
100287898	9	10	23	7
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	1
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	0
63976	5	6	0	0
100422968	0	0	0	0
105378606	1	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	1	0	0	0
27237	186	169	80	59
1953	1052	825	515	442
105378608	1	0	0	0
693135	0	0	0	0
105378607	0	0	0	0
127262	1418	1000	1414	1260
49856	696	513	998	898
7161	57	46	91	67
105378610	1	1	0	0
105378609	0	0	0	0
57212	85	76	49	41
148870	0	0	0	0
388588	52	49	9	15
57470	2021	1410	3067	2519
9731	1389	991	1629	1425
1677	121	103	263	220
107984910	6	7	18	8
339448	533	431	1338	1145
100133612	10	13	35	38
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	0	0	0
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	1	0
261734	551	441	771	625
8514	1264	981	782	665
26038	23	18	39	34
105376687	1	0	0	0
6146	8048	6324	12872	10638
107985733	71	59	24	58
102724450	13	13	12	16
388591	398	279	250	202
23463	4922	3777	11139	9386
148645	15	14	12	15
390992	0	1	0	1
387509	718	551	559	520
11332	2575	1931	4294	3574
54626	26	16	25	22
83715	29	24	19	18
100422975	0	0	0	0
8718	170	121	158	141
57449	875	630	498	473
79707	822	631	2124	1740
80835	1	2	1	0
107984912	0	0	0	0
3104	354	306	415	339
9903	1231	964	5301	4534
107984913	9	11	13	7
148479	955	711	1387	1200
90326	884	710	1454	1202
55735	1883	1473	4132	3452
100505887	0	0	0	0
110841581	4	2	1	2
23261	759	567	823	690
105376692	0	0	1	0
102725193	0	0	0	0
101928836	0	0	0	1
105376691	0	0	0	0
105376689	3	2	0	0
9341	4582	3539	8084	6801
8863	475	350	512	421
10911	13	14	2	3
3604	1330	1035	247	190
11315	4991	3778	6571	5560
54206	8386	6235	14339	12189
107984915	3	1	0	1
102724539	7	7	1	6
105376695	0	0	1	0
50651	72	57	14	6
473	1758	1393	2081	1804
102724552	5	1	1	1
106632271	0	0	0	0
2023	71495	54167	124859	107552
102465436	4	3	11	5
100505975	15	10	38	29
112268261	0	0	0	0
765	0	1	2	0
155184	0	0	0	0
6518	9	5	0	1
80045	1181	849	2270	1921
106614088	21	13	2	2
407040	0	1	0	0
102724571	4	3	0	0
9563	6248	4666	3857	3180
80176	788	572	1060	940
100506022	11	5	4	2
84275	648	439	1033	897
199953	623	536	2877	2469
107985734	23	23	91	74
105376712	0	0	0	0
5293	3121	2479	3372	2833
644997	0	1	0	0
101929074	16	4	0	3
22883	7205	5391	9693	8292
56998	1380	1031	1724	1411
105376717	70	47	91	88
84328	1530	1224	2329	1987
64802	564	462	559	544
113391335	1	2	5	4
100847055	2	0	2	1
116362	0	1	1	0
10277	2119	1590	3237	2789
23095	3087	2301	3951	3266
105376725	5	0	4	4
5226	4918	3646	4958	4259
100526739	166	114	273	236
378708	192	137	319	273
1325	10	6	16	10
1676	2718	1982	2944	2435
5195	803	614	1210	947
54897	242	177	207	181
105376733	0	0	0	0
105376735	0	0	0	0
148345	6	4	0	0
23435	4597	3438	8583	7179
10747	30	13	27	25
6723	2075	1578	6287	5516
5394	2746	1924	4892	4059
105376736	108	52	175	142
2475	4132	3331	6464	5398
100873935	52	52	105	76
10218	3	7	16	12
29914	926	746	2449	2143
105376737	0	0	2	0
105376739	0	0	0	0
105376740	1	0	0	0
57540	12	6	2	5
112268221	1	0	1	2
101929181	0	1	0	0
26232	692	482	197	179
93611	525	404	261	240
26270	210	162	215	184
10459	1452	1127	1409	1120
374946	55	37	3	3
57085	1885	1420	1478	1232
284498	245	174	128	102
102724659	0	0	0	0
4524	968	761	533	442
1185	1067	822	468	411
100379251	131	120	66	57
4878	21	17	11	12
4879	2	4	3	5
26829	6	5	13	9
90231	2489	1871	4252	3662
5351	6289	4627	7643	6854
9927	6408	4805	10695	9189
60672	838	593	1166	1015
102466982	1	1	4	2
943	12	3	5	10
102465836	8	9	10	6
7133	1189	940	555	507
100616438	1	0	0	0
107984917	0	6	0	0
55187	2899	2241	2492	2247
677885	2	1	4	1
105376744	0	0	0	1
9249	163	139	19	12
102466722	0	0	1	0
343066	0	0	0	0
126767	0	0	0	0
93190	1	0	0	0
390999	0	0	0	0
65121	1	0	0	0
105376745	0	0	0	0
440560	0	0	0	0
343069	1	1	0	1
65122	0	0	0	0
400735	0	0	0	0
343071	0	0	0	0
