GeneID	perturbed	perturbed	control	control
100287102	24	12	18	14
653635	931	701	785	690
102466751	2	4	2	0
107985730	0	1	1	0
100302278	0	0	0	0
645520	1	1	0	1
79501	0	0	0	0
100996442	2	2	4	3
729737	11	11	26	18
102725121	0	1	1	3
102723897	715	546	646	527
102465909	1	1	1	0
107985721	0	0	0	1
112268260	17	14	15	12
729759	0	0	0	0
100132287	52	22	58	48
105378947	1	2	0	0
101928626	0	0	0	0
113219467	2530	2263	4742	6447
81399	1	0	1	1
100133331	56	27	78	58
107984841	4	2	6	9
107984847	3	1	8	6
107984849	0	0	0	3
100288069	1	1	4	4
105378580	13	10	11	13
400728	4	2	3	1
79854	20	19	15	23
643837	190	134	196	221
107984850	0	0	0	0
284593	5	1	2	5
284600	51	41	48	54
100130417	135	116	176	165
107985728	23	20	23	32
148398	5272	4347	4981	4149
26155	10628	8434	9679	9369
339451	580	403	438	361
84069	194	148	168	165
84808	131	95	133	133
57801	1343	919	1357	1154
9636	3439	2663	2399	1983
375790	6692	4307	8763	8341
100288175	482	394	317	248
112267874	213	175	161	153
105378948	394	317	253	206
401934	470	331	387	329
54991	1311	878	1286	1070
254099	2	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	0	0	0	2
8784	38	40	43	23
7293	4	1	0	6
51150	6660	5451	7091	6741
126792	1802	1348	1993	1735
388581	54	34	65	62
118424	3475	3129	3203	2969
101928895	6	3	7	13
6339	79	32	72	58
116983	1126	814	1373	1154
102465434	0	0	0	1
109623456	0	0	1	1
126789	1932	1677	2188	1926
54973	2656	2341	2472	2205
102465435	1	1	2	1
80772	1587	937	1986	1705
83756	425	358	474	387
1855	4871	3750	4462	4131
102466740	4	3	1	1
54587	64	61	87	67
54998	17782	14912	13844	11789
81669	831	790	738	716
148413	1328	1246	1111	1171
55052	3920	3513	3493	3537
107984868	0	0	0	0
441869	0	1	1	0
105378585	0	0	0	0
643965	0	0	0	0
102724312	12	8	13	8
107985729	2	1	3	4
64856	136	66	100	76
219293	200	81	234	188
83858	4238	3536	3972	3849
55210	5263	4595	4850	4642
339453	12	10	10	12
29101	4539	3917	4514	4433
643988	1198	678	1237	964
105378586	7	9	11	15
142678	955	606	812	727
8510	239	168	207	190
984	1999	1533	1933	1959
728661	813	646	884	1009
8511	17	9	20	17
728642	1168	811	1083	996
9906	804	709	867	808
112268218	329	276	317	257
65220	1617	1410	1585	1651
2782	6756	5463	7712	7969
105378949	27	29	28	22
163688	6	1	1	4
339456	149	110	164	132
85452	19	11	18	25
107984872	3	3	7	8
105378589	1	0	1	0
2563	4	7	3	6
105378590	0	0	1	1
105378591	1	0	3	4
5590	1470	1411	1643	1729
100506504	19	15	19	20
199990	2805	2199	2743	2221
112268219	249	218	252	226
105378593	63	64	53	53
6497	1566	944	2062	2050
79906	293	219	259	219
100129534	14	11	15	17
11079	6467	5936	6170	6012
5192	1407	1208	1224	1138
9651	83	71	86	83
55229	962	822	796	866
388585	31	23	43	27
115110	33	29	40	37
8764	382	354	331	318
100996583	0	0	0	0
127281	942	713	859	912
79258	134	118	148	132
105378597	2	0	0	1
100287898	1	0	8	4
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	0
63976	96	100	77	60
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	0	3	1	1
27237	3785	3148	3504	3226
1953	1048	772	1342	1274
105378608	41	38	42	63
693135	0	0	0	0
105378607	0	0	0	0
127262	1172	1147	1133	1192
49856	812	763	705	798
7161	119	71	180	126
105378610	48	15	28	32
105378609	0	0	0	0
57212	11	10	13	11
148870	0	0	0	0
388588	82	86	110	69
57470	1683	1475	1581	1802
9731	890	606	916	813
1677	95	134	111	149
107984910	8	4	4	7
339448	622	577	707	655
100133612	4	0	3	12
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	3
55966	0	1	0	3
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	410	332	446	486
8514	3632	2519	4070	3943
26038	40	40	26	27
105376687	0	0	0	0
6146	34041	29726	25839	24267
107985733	35	33	18	36
102724450	11	2	13	9
388591	406	379	351	302
23463	3514	2960	3406	3638
148645	147	90	99	105
390992	0	0	0	0
387509	1392	932	1577	1602
11332	4967	4422	4664	4687
54626	1102	907	1108	1165
83715	1190	653	1548	1346
100422975	0	0	1	0
8718	43	23	72	49
57449	131	54	110	99
79707	726	591	943	954
80835	1	2	0	0
107984912	1	0	0	0
3104	791	715	637	615
9903	1346	1194	1432	1529
107984913	2	3	1	1
148479	1462	1398	1180	1381
90326	2110	1600	2005	1809
55735	1745	1313	1892	2020
100505887	0	0	0	0
110841581	15	13	12	7
23261	1925	1682	1582	1482
105376692	0	0	0	0
102725193	0	0	0	0
101928836	2	3	1	2
105376691	0	0	0	0
105376689	0	0	0	0
9341	983	850	1147	1123
8863	25	17	34	36
10911	1	0	0	1
3604	29	17	15	11
11315	10033	9977	10669	10888
54206	1633	1183	1081	1263
107984915	3	0	0	0
102724539	16	25	10	10
105376695	1	2	0	0
50651	77	45	37	30
