GeneID	control	control	perturbed	perturbed	perturbed	perturbed
100287102	0	0	1	2	1	1
653635	217	118	315	217	241	172
102466751	4	4	4	4	4	5
107985730	0	0	0	0	0	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	10	9	15	17	15	11
729737	47	25	63	43	60	44
102725121	1	0	0	1	0	0
102723897	201	113	313	210	233	175
102465909	2	1	3	3	4	2
107985721	0	0	0	0	0	0
112268260	1	1	4	2	2	1
729759	0	0	0	0	0	0
100132287	59	38	91	59	69	50
105378947	0	0	0	0	0	0
101928626	0	0	0	1	1	0
113219467	932	595	1439	1059	1088	932
81399	1	0	0	2	0	0
100133331	77	43	124	74	106	74
107984841	15	9	23	14	17	10
107984847	17	15	28	26	18	20
107984849	2	1	5	2	3	2
100288069	13	13	36	25	22	15
105378580	21	8	27	17	18	13
400728	8	5	6	11	9	8
79854	16	9	40	36	29	13
643837	314	218	491	326	376	292
107984850	0	1	1	2	1	1
284593	1	1	3	1	1	2
284600	67	34	154	88	106	81
100130417	58	30	118	85	101	68
107985728	137	83	378	298	195	151
148398	859	469	1887	1285	891	698
26155	4600	2687	7858	5419	4879	3635
339451	550	322	935	681	760	548
84069	57	38	99	61	90	50
84808	9	5	20	13	10	9
57801	797	460	1065	717	1345	985
9636	3892	2117	4114	2767	8020	5793
375790	6696	4173	9251	6144	8781	6539
100288175	13	7	15	15	14	17
112267874	3	3	5	4	4	2
105378948	13	11	18	11	17	10
401934	0	0	0	1	1	0
54991	366	192	561	417	392	305
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	0	0	0	0
254173	0	0	0	0	0	0
8784	2	3	7	1	7	4
7293	0	0	0	0	0	1
51150	8063	4601	12550	8862	8734	6285
126792	1234	769	2232	1619	1392	1002
388581	24	3	30	17	24	11
118424	1305	747	2019	1302	1237	930
101928895	35	26	60	41	61	41
6339	71	37	94	65	99	68
116983	753	409	1584	957	1257	965
102465434	0	0	0	0	0	0
109623456	3	1	8	9	10	7
126789	469	277	708	507	426	325
54973	1772	1017	2893	1949	1903	1379
102465435	2	1	4	3	1	1
80772	1122	697	1750	1135	1214	907
83756	11	9	19	16	20	20
1855	1841	1089	2991	2012	2105	1452
102466740	1	1	2	1	2	2
54587	74	52	155	100	113	81
54998	2544	1516	4315	2930	2764	1926
81669	2758	1682	4159	2905	3854	2936
148413	541	281	780	561	549	402
55052	1108	606	1714	1223	1160	866
107984868	3	3	4	2	1	2
441869	15	5	14	17	7	8
105378585	3	1	7	3	2	0
643965	0	0	2	0	0	2
102724312	2	2	0	1	0	1
107985729	0	1	0	0	0	0
64856	390	200	613	365	311	235
219293	159	80	235	162	171	139
83858	2158	1285	3824	2693	2809	1986
55210	2363	1333	3894	2660	2681	2049
339453	9	5	9	7	18	19
29101	3447	2069	5101	3455	3355	2658
643988	791	452	1177	839	1148	834
105378586	41	18	78	43	54	38
142678	850	463	1545	1051	1043	704
8510	58	33	91	67	70	50
984	1596	894	2513	1765	1876	1303
728661	2247	1481	3498	2523	2215	1652
8511	15	7	24	19	15	14
728642	1032	592	1669	1186	1243	864
9906	1117	696	1568	1153	1034	821
112268218	126	63	170	115	125	92
65220	1983	1165	3121	2114	2199	1605
2782	13937	8364	21000	14426	12544	9388
105378949	18	7	28	18	18	11
163688	19	2	25	20	31	15
339456	34	19	48	32	27	18
85452	0	0	1	0	0	0
107984872	0	0	0	0	0	0
105378589	0	0	0	1	0	0
2563	0	0	0	1	0	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	139	77	196	146	119	100
100506504	10	2	19	9	10	7
199990	1010	625	1639	1192	1100	832
112268219	53	45	117	76	119	79
105378593	8	8	15	6	21	16
6497	3102	1873	5475	3710	3663	2774
79906	165	99	261	187	226	142
100129534	16	8	15	7	15	15
11079	4040	2331	5922	4120	3711	2794
5192	747	448	1160	828	760	524
9651	4	3	10	8	7	3
55229	729	397	1115	743	699	499
388585	0	0	1	0	0	0
115110	3	1	9	2	4	7
8764	75	34	87	61	84	52
100996583	0	0	0	0	1	1
127281	777	486	1235	871	663	509
79258	90	54	134	72	75	59
105378597	0	0	0	0	0	0
100287898	7	4	6	12	6	3
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	1	0	2	1	1	0
100422968	0	0	0	0	0	0
105378606	0	0	0	0	1	0
107984909	0	0	0	1	0	1
105378605	0	0	0	0	0	0
105378604	29	12	53	30	47	36
27237	8	4	29	19	31	16
1953	2446	1394	4667	3203	3965	2883
105378608	0	0	0	0	2	2
693135	0	0	0	0	0	0
105378607	0	0	0	0	1	0
127262	837	476	1322	913	924	674
49856	515	285	722	514	479	330
7161	4	2	10	5	8	4
105378610	0	0	0	0	0	0
105378609	0	0	0	0	0	0
57212	533	343	878	657	572	460
148870	6	2	3	2	5	0
388588	36	21	36	26	32	16
57470	1933	1207	3130	2158	1980	1401
9731	875	590	1271	973	837	614
1677	193	136	294	216	175	128
107984910	4	4	4	3	6	0
339448	647	353	890	607	546	412
100133612	0	0	2	1	0	1
728716	0	0	0	0	0	0
105376672	0	0	0	1	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	0	0	0	0	0
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	1	0	0	0
261734	569	365	759	581	582	486
8514	248	162	331	234	209	142
26038	16	10	29	22	39	23
105376687	0	0	0	0	0	0
6146	7725	4541	9829	7081	5885	4378
107985733	16	14	40	25	19	13
102724450	11	7	5	8	5	5
388591	263	167	412	304	269	198
23463	3003	1893	4647	3200	2924	2181
148645	16	11	30	20	9	6
390992	1	0	0	0	1	0
387509	493	274	855	613	344	253
11332	1492	840	2264	1601	1433	1051
54626	1	4	1	1	5	1
83715	5	1	8	6	7	4
100422975	0	0	0	0	0	0
8718	55	32	108	79	81	48
57449	241	155	451	326	267	189
79707	1008	630	1620	1081	853	698
80835	2	1	1	1	0	0
107984912	0	0	0	0	0	0
3104	320	184	513	325	327	244
9903	1026	585	1727	1087	1195	864
107984913	5	3	2	2	1	3
148479	1817	1125	2802	1974	1767	1349
90326	817	441	1163	782	779	627
55735	2297	1394	3720	2613	2465	1939
100505887	0	0	0	0	0	0
110841581	4	2	7	3	2	9
23261	934	575	1404	953	854	656
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	1	0	0
105376689	23	9	26	27	20	20
9341	3223	1801	4347	3111	2560	2102
8863	1142	784	1703	1200	771	589
10911	5	2	5	1	5	2
3604	2	1	3	2	1	2
11315	5569	3206	7840	5481	5326	3643
54206	12175	7650	16152	11486	10027	7718
107984915	1	0	0	0	0	0
102724539	2	0	0	3	0	0
105376695	1	0	1	0	0	0
50651	178	88	242	156	170	121
473	3617	2237	6329	4445	4855	3501
102724552	4	2	1	2	1	1
106632271	0	0	0	0	0	0
2023	113489	65810	169117	117979	105962	77768
102465436	3	2	6	3	4	2
100505975	15	5	27	23	12	14
112268261	5	4	3	2	3	2
765	11	7	12	9	10	6
155184	0	0	0	0	0	0
6518	30	9	25	14	30	10
80045	202	138	278	216	261	208
106614088	9	3	4	6	22	12
407040	0	0	0	0	0	1
102724571	1	0	0	1	2	0
9563	2824	1743	3970	2812	2338	1701
80176	554	322	787	567	650	486
100506022	16	5	31	11	13	10
84275	584	343	825	518	478	406
199953	1092	650	1724	1185	1074	783
107985734	32	18	40	24	28	18
105376712	1	0	0	0	0	0
5293	563	330	795	588	473	365
644997	0	0	0	0	0	0
101929074	168	89	222	150	118	93
22883	7949	4729	12805	8772	7696	5668
56998	804	508	1200	831	700	478
105376717	18	14	55	34	22	13
84328	919	545	1278	908	733	607
64802	405	232	615	413	359	252
113391335	0	0	0	1	0	1
100847055	0	0	0	0	0	0
116362	3	1	2	2	2	0
10277	1784	1065	2899	2076	1532	1184
23095	3250	2098	4832	3396	2723	2149
105376725	1	0	2	1	3	0
5226	8605	5051	11663	7958	8205	6080
100526739	133	72	230	133	139	98
378708	174	91	280	169	176	113
1325	12	7	17	17	13	15
1676	4229	2564	5744	3987	3533	2719
5195	752	471	1195	823	760	577
54897	514	301	731	569	448	343
105376733	0	0	0	0	0	0
105376735	0	0	0	0	0	0
148345	0	0	0	0	0	0
23435	3907	2289	5980	4250	3824	3007
10747	24	17	51	29	28	23
6723	4080	2257	6643	4612	4798	3533
5394	2550	1557	4061	2817	2504	2046
105376736	30	19	69	60	48	34
2475	3521	2284	6008	4152	3096	2369
100873935	38	23	69	46	35	29
10218	1	1	0	1	0	0
29914	565	360	826	593	586	420
105376737	0	0	0	0	0	0
105376739	0	0	0	0	0	0
105376740	1	0	1	0	1	0
57540	3	3	5	6	7	3
112268221	1	2	1	1	1	0
101929181	1	0	0	2	0	0
26232	58	16	81	52	38	25
93611	559	321	831	604	474	377
26270	199	113	218	161	166	130
10459	1519	919	2353	1645	1494	1116
374946	24	14	28	23	29	21
57085	1112	631	1471	981	1063	847
284498	71	36	108	79	61	48
102724659	0	0	0	0	0	0
4524	368	253	594	415	341	297
1185	722	510	1064	744	685	514
100379251	66	53	100	78	69	50
4878	3	3	4	1	5	4
4879	0	0	0	0	0	0
26829	0	1	0	0	3	0
90231	2988	1661	4792	3442	2917	2201
5351	13596	7819	21133	14659	14419	10527
9927	3862	2326	5851	4171	3869	2773
60672	855	427	1200	807	878	579
102466982	1	0	1	2	1	2
943	2	1	7	4	4	4
102465836	0	0	1	0	0	0
7133	194	113	233	141	346	294
100616438	0	0	0	0	0	0
107984917	0	0	2	0	0	0
55187	2219	1521	3419	2372	1984	1361
677885	3	2	3	2	2	2
105376744	0	0	1	1	1	1
9249	2070	1142	3189	2283	2288	1759
102466722	0	1	1	1	1	0
343066	0	0	0	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	1	0
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	8	5	22	12	12	4
65122	0	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	0	0	0	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	0	0	0	1	0	0
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	0	0	0	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	0	0	0	0	0	0
102724856	0	0	0	0	0	0
107984918	0	0	0	0	0	0
10630	0	0	0	0	0	0
107984919	0	0	0	0	0	0
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	851	596	1448	1047	947	689
23254	541	313	828	557	650	516
107985467	0	0	0	0	0	0
107985468	0	0	0	0	0	0
105376762	0	0	0	0	0	0
105376759	0	0	0	0	0	0
107985469	0	1	0	0	0	2
200197	14	10	27	15	28	19
55092	98	59	155	103	137	123
727684	0	0	0	0	0	0
114827	4	4	6	8	7	5
101927417	2	1	2	4	2	2
101927441	3	5	20	5	7	9
79180	1796	1066	2909	1936	1838	1346
11330	6	1	5	2	2	5
63036	0	1	1	1	2	0
105376767	0	0	0	1	1	1
51032	0	1	1	1	0	0
842	132	75	196	153	151	78
23341	629	390	977	713	523	366
107397391	0	0	0	0	0	0
79814	91	43	141	106	71	50
84301	1769	1182	2619	1737	1527	1113
