GeneID	control	perturbed	control	perturbed	control	perturbed	control	perturbed	control	perturbed	control	perturbed
100287102	6	10	6	7	7	5	5	3	4	4	6	7
653635	307	506	375	402	371	377	296	478	335	351	273	430
102466751	9	4	7	6	3	7	7	9	8	5	3	7
107985730	0	0	0	0	0	0	0	1	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	48	107	64	78	69	66	43	95	49	71	55	66
729737	312	365	401	280	444	222	325	305	345	219	310	232
102725121	3	9	6	6	6	5	5	3	3	4	5	5
102723897	340	611	417	438	404	422	323	546	354	417	322	478
102465909	9	4	7	6	3	6	6	9	7	5	3	7
107985721	0	0	0	0	0	0	0	2	0	2	0	2
112268260	33	79	40	58	51	63	33	70	35	49	31	64
729759	0	1	0	0	0	0	0	0	1	0	0	0
100132287	171	212	251	164	226	146	165	198	190	129	164	151
105378947	4	9	5	8	7	8	3	8	3	4	2	4
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	1466	1554	1700	1487	1504	1087	1050	1428	1445	919	1562	1101
81399	1	2	1	1	2	1	2	2	1	1	1	1
100133331	188	229	249	180	251	149	185	215	197	147	171	150
107984841	13	21	21	16	16	13	12	13	17	11	12	12
107984847	16	17	27	10	17	12	18	22	18	16	12	13
107984849	3	2	4	2	1	0	1	1	2	2	2	0
100288069	27	35	33	27	38	20	30	33	26	18	22	22
105378580	20	29	17	18	26	16	12	27	15	11	15	20
400728	4	8	2	1	2	3	1	7	1	4	2	1
79854	15	17	25	18	14	12	12	22	20	19	13	21
643837	113	199	138	193	179	175	110	199	153	182	138	177
107984850	1	0	3	1	0	0	2	2	0	0	1	2
284593	1	2	3	4	3	3	2	2	5	4	3	2
284600	38	13	41	10	41	3	34	10	36	18	23	24
100130417	312	225	463	248	428	244	381	253	445	163	341	197
107985728	778	626	1141	442	925	439	864	594	854	332	717	433
148398	1419	1071	1960	971	1615	907	1457	1214	1692	850	1375	928
26155	3826	5390	4586	3991	4575	4635	4003	5670	4431	4030	4091	4756
339451	635	852	814	728	661	727	720	1001	675	662	554	741
84069	286	307	320	255	342	240	290	329	289	226	217	275
84808	38	71	65	53	82	47	31	57	54	57	36	59
57801	756	1087	735	808	857	780	826	1120	878	677	969	856
9636	385	899	448	743	411	809	422	1223	490	833	449	979
375790	14540	28857	17680	21545	17849	22454	14544	26441	15785	18655	13851	21804
100288175	45	74	42	67	32	31	31	53	23	37	25	42
112267874	61	89	79	91	90	78	99	113	86	90	99	76
105378948	104	123	110	94	100	61	89	122	71	105	73	95
401934	469	632	567	483	855	545	555	816	706	557	571	606
54991	429	808	567	659	542	697	474	920	532	588	434	621
254099	4	0	5	2	5	0	7	5	3	1	5	2
406984	0	0	0	0	0	1	1	1	5	4	1	0
406983	5	1	4	9	0	2	3	16	6	2	2	3
554210	3	11	8	19	1	6	10	21	3	9	4	4
100506376	5	11	1	13	1	15	6	17	2	19	1	13
254173	5	9	2	4	17	5	3	16	5	10	3	11
8784	335	468	402	362	382	447	374	556	441	398	363	443
7293	0	5	3	5	0	1	0	1	2	2	3	3
51150	3649	7065	4228	5170	4410	5943	3603	7071	4160	5059	3926	6092
126792	601	1134	699	699	738	826	582	1036	639	711	643	829
388581	9	9	6	8	11	14	10	5	8	6	4	9
118424	1141	2090	1368	1680	1475	1797	1217	2265	1273	1603	1226	1730
101928895	22	37	23	14	17	17	17	18	15	12	11	14
6339	29	49	33	46	44	36	35	55	28	30	26	47
116983	1927	3208	2444	2570	2455	2697	1889	3298	1982	2228	1872	2770
102465434	0	6	3	4	0	0	0	0	0	1	3	0
109623456	20	18	22	24	14	23	20	15	12	14	14	21
126789	571	1030	716	754	656	771	543	987	662	846	584	869
54973	1491	2112	1886	1683	1873	1802	1479	2292	1653	1554	1469	1818
