GeneID	perturbed	perturbed	perturbed	perturbed	perturbed	control	control	control	control	control
100287102	15	23	13	18	13	16	18	14	18	21
653635	176	276	195	212	188	233	269	236	244	282
102466751	6	8	5	9	7	11	9	6	5	9
107985730	0	1	1	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0
100996442	43	55	37	37	42	38	44	36	46	57
729737	59	75	57	58	46	63	59	59	78	74
102725121	11	19	9	15	12	12	14	11	14	14
102723897	192	315	222	246	210	252	304	258	270	303
102465909	7	9	4	9	8	9	9	5	5	9
107985721	1	3	1	2	1	1	1	1	1	0
112268260	9	11	7	10	12	9	8	5	10	9
729759	2	1	0	0	0	0	1	1	1	0
100132287	57	86	56	55	47	65	62	57	70	77
105378947	1	0	0	0	1	1	1	1	2	0
101928626	0	0	0	0	0	0	0	0	0	0
113219467	8470	11926	9653	13025	11980	11253	11188	10215	8798	17106
81399	3	2	3	2	2	2	3	2	2	3
100133331	66	94	69	60	63	75	84	79	80	80
107984841	11	14	12	17	11	12	13	10	13	17
107984847	24	29	20	17	14	44	18	20	24	26
107984849	3	2	3	2	1	2	3	2	2	2
100288069	38	63	39	60	44	53	58	47	39	52
105378580	32	38	32	37	35	43	44	32	40	46
400728	21	26	15	14	21	20	24	17	12	24
79854	17	30	21	25	30	31	32	24	30	36
643837	318	426	332	356	357	398	336	306	350	429
107984850	4	1	1	5	3	2	3	4	2	1
284593	5	5	8	4	9	11	10	6	8	11
284600	73	116	68	102	78	86	83	73	115	103
100130417	58	140	75	94	74	77	103	78	90	144
107985728	175	261	177	184	177	184	246	220	214	259
148398	447	727	576	538	595	676	746	631	695	866
26155	3423	5858	4477	4400	4601	5425	5589	4822	5082	6486
339451	464	778	559	564	491	439	583	482	563	615
84069	181	319	201	239	197	241	304	244	275	334
84808	39	50	35	44	51	49	55	46	51	61
57801	253	499	298	324	293	301	348	258	289	285
9636	235	468	359	357	368	338	344	259	293	403
375790	5310	8892	6368	6511	5369	5498	6452	5748	6213	7237
100288175	27	43	37	25	28	32	39	29	25	34
112267874	6	17	7	11	9	10	8	6	11	9
105378948	30	47	39	32	32	26	44	28	28	38
401934	2	1	10	3	2	7	6	1	9	3
54991	272	396	282	278	273	304	321	300	334	406
254099	0	0	0	0	1	0	0	0	0	1
406984	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0
100506376	1	0	1	1	0	0	0	0	0	0
254173	3	1	0	1	0	3	0	0	0	1
8784	3	9	7	8	4	7	11	8	9	13
7293	6	10	5	9	15	20	13	16	15	12
51150	4302	7253	5416	5450	5191	4524	4578	4199	4368	5316
126792	1202	1917	1403	1377	1406	1558	1693	1430	1549	1967
388581	59	88	63	79	69	37	41	46	42	47
118424	1262	1932	1585	1501	1597	1882	1946	1670	1699	2121
101928895	90	154	80	115	106	84	111	104	100	113
6339	213	310	171	205	183	155	210	168	192	203
116983	323	562	371	348	319	276	403	333	337	395
102465434	0	0	0	0	0	0	0	0	0	0
109623456	2	8	5	3	2	1	2	0	5	2
126789	271	483	365	340	354	344	396	348	379	413
54973	1028	1622	1271	1209	1214	1463	1594	1292	1457	1682
102465435	4	5	3	2	3	1	2	2	3	4
80772	629	1105	823	764	755	873	1051	870	1065	1197
83756	108	145	117	138	115	145	131	130	119	147
1855	2252	3711	2744	2712	2560	3100	3315	2711	3047	3665
102466740	1	1	0	2	4	2	2	3	1	1
54587	300	436	300	302	288	286	307	279	267	309
54998	1666	2830	2273	2158	2275	2703	2834	2602	2754	3287
81669	3476	4696	3372	3985	3779	3411	3692	3278	3264	4233
148413	512	847	629	627	704	743	713	653	631	878
55052	831	1482	1073	1077	1262	1372	1403	1220	1138	1611
107984868	12	13	6	18	4	7	5	8	10	10
441869	16	26	16	9	9	16	17	13	6	18
105378585	6	9	8	8	10	4	3	10	2	6
643965	23	25	28	23	20	15	27	17	20	34
102724312	118	148	135	122	126	60	94	77	79	119
107985729	104	160	114	129	113	46	82	55	71	65
64856	6010	10363	7281	8017	6707	2756	3304	2956	2917	3670
219293	268	454	275	317	296	238	294	259	264	311
83858	1550	2526	1856	1830	1832	2083	2152	1906	1971	2421
55210	975	1593	1235	1145	1180	1362	1371	1255	1414	1597
339453	8	11	10	11	4	7	10	8	12	16
29101	2006	3185	2681	2669	2932	2961	3078	2489	2765	3647
643988	150	327	233	212	209	183	209	186	162	232
105378586	8	5	6	5	3	7	9	4	3	10
142678	681	1021	758	757	646	610	742	655	662	742
8510	60	101	63	77	65	82	74	73	74	101
984	939	1453	1011	1083	1080	1347	1384	1190	1260	1616
728661	2382	3530	2657	2703	2643	2519	2637	2276	2467	2977
8511	11	17	9	14	8	8	8	11	10	14
728642	852	1299	884	956	929	1185	1219	1023	1075	1380
9906	1402	1973	1549	1602	1553	1488	1515	1291	1415	1704
112268218	67	120	87	88	86	90	96	88	102	115
65220	1034	1598	1249	1287	1301	1425	1492	1277	1383	1663
2782	6486	10081	8257	8047	8653	11541	11630	9228	10566	13424
105378949	19	35	14	32	20	10	14	11	25	27
163688	29	25	30	23	29	28	31	22	18	16
339456	54	64	56	44	46	44	66	47	52	72
85452	1	6	4	9	3	1	6	3	4	4
107984872	0	2	1	3	5	2	0	1	1	2
105378589	7	9	7	14	4	7	7	5	6	10
2563	91	188	142	120	83	75	88	75	68	90
105378590	0	1	0	1	0	0	2	0	2	1
105378591	4	4	3	0	0	1	4	1	2	0
5590	411	718	476	535	500	494	528	481	522	620
100506504	25	30	21	32	17	33	31	23	21	32
199990	865	1446	1119	1075	1063	997	1094	972	1112	1273
112268219	115	188	133	152	127	118	157	121	152	190
105378593	42	51	27	46	28	27	32	27	24	42
6497	2464	3891	2835	2665	2821	2988	3163	2709	3032	3476
79906	359	553	340	418	375	374	466	366	385	436
100129534	73	78	67	68	56	66	107	69	67	89
11079	2820	4712	3498	3526	3758	4089	4058	3476	3614	4793
5192	612	966	734	795	754	933	931	754	853	1065
9651	634	1106	776	732	733	1749	1858	1562	1906	2082
55229	573	823	590	684	587	724	804	638	755	938
388585	2	6	4	3	2	3	1	3	0	3
115110	13	16	12	17	8	3	13	12	13	11
8764	60	83	68	74	63	38	39	26	46	38
100996583	6	4	2	7	2	3	2	2	2	5
127281	288	481	373	337	328	325	310	305	303	414
79258	30	38	30	22	29	28	19	23	24	38
105378597	4	4	2	3	0	4	2	1	2	5
100287898	93	136	97	106	81	53	82	62	64	83
105378603	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0
107985732	1	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0
105378598	0	1	0	0	1	0	0	0	0	0
107984904	1	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0
440556	38	100	37	64	44	75	72	77	70	89
63976	538	797	575	544	612	684	693	577	666	731
100422968	0	0	0	0	0	0	1	3	0	0
105378606	23	23	19	20	9	31	17	25	25	21
107984909	13	14	7	19	11	22	16	5	12	20
105378605	15	16	14	14	8	8	10	12	13	13
105378604	84	102	83	108	74	122	101	85	120	132
27237	142	252	177	191	204	205	213	201	203	215
1953	50	64	51	71	31	61	83	70	81	102
105378608	0	1	1	0	0	1	1	1	1	0
693135	0	0	0	0	0	0	0	0	0	0
105378607	0	0	1	0	0	0	0	0	0	0
