GeneID	perturbed	perturbed	control	control
100287102	9	5	6	10
653635	43	30	31	34
102466751	0	0	0	0
107985730	3	2	2	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	3	5	3	3
729737	8	4	9	9
102725121	1	1	0	1
102723897	52	47	46	52
102465909	0	0	0	0
107985721	5	3	4	3
112268260	0	1	1	0
729759	0	0	0	0
100132287	6	5	10	9
105378947	0	0	0	0
101928626	0	0	0	0
113219467	1136	1027	1209	1575
81399	0	0	1	1
100133331	6	5	12	6
107984841	0	0	0	1
107984847	0	0	0	0
107984849	0	0	0	0
100288069	5	5	5	4
105378580	2	4	3	4
400728	7	6	6	9
79854	7	9	21	7
643837	46	60	50	62
107984850	0	0	0	0
284593	0	0	0	0
284600	0	0	0	0
100130417	0	0	0	0
107985728	0	0	0	0
148398	97	80	118	99
26155	109	92	137	119
339451	52	65	60	76
84069	36	24	35	44
84808	5	3	6	4
57801	19	27	34	43
9636	102	85	88	108
375790	421	268	309	383
100288175	13	19	20	20
112267874	13	7	8	7
105378948	24	25	27	26
401934	0	0	0	1
54991	19	20	25	32
254099	4	3	2	3
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	1
254173	1	0	1	0
8784	4	1	10	8
7293	1	0	0	0
51150	1306	1107	1103	1227
126792	348	299	340	380
388581	2	0	2	1
118424	467	383	357	382
101928895	0	0	0	0
6339	18	13	15	20
116983	46	34	31	30
102465434	0	0	0	0
109623456	0	0	0	0
126789	50	37	52	41
54973	107	93	88	84
102465435	0	0	0	0
80772	104	124	69	100
83756	25	20	26	35
1855	228	178	209	204
102466740	0	0	0	0
54587	7	3	10	10
54998	673	619	628	566
81669	1147	961	1127	1121
148413	312	309	334	319
55052	553	497	596	535
107984868	1	0	0	0
441869	3	0	0	3
105378585	1	2	0	1
643965	0	0	0	0
102724312	1	0	1	4
107985729	0	0	0	0
64856	16	14	15	18
219293	26	23	20	21
83858	51	43	57	44
55210	148	135	119	151
339453	1	0	0	0
29101	195	157	203	187
643988	37	22	32	22
105378586	0	0	0	0
142678	68	49	46	44
8510	26	15	18	19
984	405	327	412	420
728661	271	237	237	253
8511	3	2	3	1
728642	309	244	312	298
9906	182	159	183	170
112268218	34	27	30	38
65220	133	113	130	117
2782	1043	902	1187	1159
105378949	2	0	0	1
163688	0	0	1	1
339456	5	11	6	14
85452	0	4	3	3
107984872	0	1	2	0
105378589	0	0	0	0
2563	2	1	5	3
105378590	0	0	0	0
105378591	0	0	0	0
5590	67	66	55	53
100506504	1	3	0	2
199990	132	112	139	113
112268219	3	3	8	5
105378593	0	0	0	0
6497	159	116	231	246
79906	13	10	6	10
100129534	12	8	5	2
11079	309	261	381	416
5192	80	62	68	84
9651	2	0	0	3
55229	3	1	17	10
388585	1	0	0	0
115110	26	23	23	19
8764	34	33	40	47
100996583	0	0	0	0
127281	139	122	170	179
79258	0	1	1	1
105378597	3	5	4	4
100287898	4	8	4	12
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	1
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	4	0	3	2
63976	24	19	30	37
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	2
105378605	0	0	1	0
105378604	67	46	57	69
27237	28	26	11	42
1953	118	82	139	115
105378608	0	0	0	1
693135	0	0	0	0
105378607	0	0	0	0
127262	195	165	171	184
49856	100	79	112	103
7161	24	23	26	26
105378610	5	6	4	3
105378609	0	0	0	0
57212	16	14	16	14
148870	0	1	0	0
388588	18	13	14	18
57470	318	310	419	421
9731	299	235	282	273
1677	53	44	64	75
107984910	0	1	1	1
339448	90	72	114	105
100133612	0	0	0	0
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	1
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	0	0	0
105376680	2	2	3	3
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	39	30	22	34
8514	56	42	49	44
26038	6	1	1	2
105376687	0	0	0	1
6146	2990	2544	3114	3173
107985733	1	4	5	4
102724450	4	2	0	1
388591	63	53	57	56
23463	282	235	273	306
148645	8	2	12	3
390992	0	0	0	0
387509	92	86	120	133
11332	276	208	267	255
54626	6	4	7	6
83715	37	20	23	27
100422975	0	0	0	0
8718	11	8	6	11
57449	34	23	42	46
79707	319	284	323	325
80835	0	0	0	0
107984912	0	0	0	0
3104	15	13	10	9
9903	220	198	237	185
107984913	3	6	4	7
148479	145	151	151	158
90326	105	86	103	101
55735	83	58	77	85
100505887	0	0	0	0
110841581	14	15	13	11
23261	287	231	363	338
105376692	0	0	0	0
102725193	0	0	0	0
101928836	3	4	4	0
105376691	0	0	0	0
105376689	13	20	4	13
9341	275	206	266	258
8863	80	63	56	52
10911	1	0	2	2
3604	10	13	16	8
11315	1234	1210	1285	1157
54206	73	58	83	83
107984915	0	0	0	0
