GeneID	perturbed	perturbed	control	control
100287102	5	5	6	10
653635	32	27	31	34
102466751	0	0	0	0
107985730	3	3	2	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	2	4	3	3
729737	6	10	9	9
102725121	1	1	0	1
102723897	41	36	46	52
102465909	0	0	0	0
107985721	4	3	4	3
112268260	0	1	1	0
729759	0	0	0	0
100132287	8	9	10	9
105378947	0	0	0	0
101928626	0	0	0	0
113219467	765	953	1209	1575
81399	1	1	1	1
100133331	8	8	12	6
107984841	1	0	0	1
107984847	0	0	0	0
107984849	0	0	0	0
100288069	3	4	5	4
105378580	6	11	3	4
400728	3	10	6	9
79854	19	6	21	7
643837	101	81	50	62
107984850	3	0	0	0
284593	1	0	0	0
284600	0	0	0	0
100130417	0	0	0	0
107985728	0	0	0	0
148398	70	90	118	99
26155	84	92	137	119
339451	57	48	60	76
84069	36	41	35	44
84808	8	7	6	4
57801	18	12	34	43
9636	58	40	88	108
375790	314	251	309	383
100288175	17	16	20	20
112267874	9	6	8	7
105378948	25	23	27	26
401934	0	1	0	1
54991	15	10	25	32
254099	0	1	2	3
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	1	0	1
254173	4	4	1	0
8784	6	4	10	8
7293	0	0	0	0
51150	816	674	1103	1227
126792	336	330	340	380
388581	1	3	2	1
118424	248	183	357	382
101928895	0	1	0	0
6339	11	7	15	20
116983	31	29	31	30
102465434	0	0	0	0
109623456	0	0	0	0
126789	28	26	52	41
54973	65	70	88	84
102465435	0	0	0	0
80772	56	42	69	100
83756	25	19	26	35
1855	154	146	209	204
102466740	0	0	0	0
54587	10	5	10	10
54998	373	376	628	566
81669	962	960	1127	1121
148413	262	256	334	319
55052	476	496	596	535
107984868	0	0	0	0
441869	2	0	0	3
105378585	1	1	0	1
643965	0	0	0	0
102724312	2	1	1	4
107985729	0	0	0	0
64856	16	8	15	18
219293	11	16	20	21
83858	34	28	57	44
55210	77	47	119	151
339453	0	0	0	0
29101	259	261	203	187
643988	20	19	32	22
105378586	0	0	0	0
142678	57	43	46	44
8510	14	9	18	19
984	303	285	412	420
728661	198	195	237	253
8511	1	1	3	1
728642	226	221	312	298
9906	113	117	183	170
112268218	20	25	30	38
65220	87	76	130	117
2782	747	748	1187	1159
105378949	0	0	0	1
163688	1	0	1	1
339456	2	3	6	14
85452	4	2	3	3
107984872	1	0	2	0
105378589	0	0	0	0
2563	0	2	5	3
105378590	0	0	0	0
105378591	0	0	0	0
5590	48	52	55	53
100506504	4	3	0	2
199990	102	74	139	113
112268219	3	4	8	5
105378593	0	1	0	0
6497	149	122	231	246
79906	14	14	6	10
100129534	7	7	5	2
11079	261	272	381	416
5192	53	59	68	84
9651	1	1	0	3
55229	2	3	17	10
388585	0	1	0	0
115110	29	20	23	19
8764	39	40	40	47
100996583	1	1	0	0
127281	136	141	170	179
79258	2	3	1	1
105378597	3	7	4	4
100287898	10	11	4	12
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	1
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	3	4	3	2
63976	47	39	30	37
100422968	0	0	0	0
