GeneID	perturbed	perturbed	control	control
100287102	5	8	6	10
653635	35	26	31	34
102466751	0	0	0	0
107985730	1	2	2	2
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	3	3	3	3
729737	5	1	9	9
102725121	1	1	0	1
102723897	43	37	46	52
102465909	0	0	0	0
107985721	3	2	4	3
112268260	0	0	1	0
729759	0	0	0	0
100132287	5	5	10	9
105378947	0	0	0	0
101928626	0	0	0	0
113219467	1193	1238	1209	1575
81399	0	0	1	1
100133331	6	3	12	6
107984841	0	0	0	1
107984847	0	0	0	0
107984849	0	0	0	0
100288069	2	3	5	4
105378580	5	5	3	4
400728	4	8	6	9
79854	10	5	21	7
643837	49	38	50	62
107984850	0	0	0	0
284593	1	0	0	0
284600	0	0	0	0
100130417	0	0	0	0
107985728	0	0	0	0
148398	111	85	118	99
26155	134	106	137	119
339451	65	52	60	76
84069	39	37	35	44
84808	4	4	6	4
57801	16	18	34	43
9636	69	61	88	108
375790	206	245	309	383
100288175	13	14	20	20
112267874	6	6	8	7
105378948	18	18	27	26
401934	0	1	0	1
54991	21	20	25	32
254099	1	1	2	3
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	1
254173	1	0	1	0
8784	6	5	10	8
7293	0	1	0	0
51150	933	649	1103	1227
126792	404	292	340	380
388581	0	0	2	1
118424	346	231	357	382
101928895	0	0	0	0
6339	10	10	15	20
116983	32	21	31	30
102465434	0	0	0	0
109623456	0	0	0	0
126789	46	37	52	41
54973	81	59	88	84
102465435	0	0	0	0
80772	91	38	69	100
83756	26	22	26	35
1855	240	168	209	204
102466740	0	0	0	0
54587	4	7	10	10
54998	555	377	628	566
81669	950	769	1127	1121
148413	303	240	334	319
55052	611	455	596	535
107984868	0	1	0	0
441869	2	2	0	3
105378585	1	0	0	1
643965	0	0	0	0
102724312	1	2	1	4
107985729	0	0	0	0
64856	11	9	15	18
219293	24	14	20	21
83858	43	35	57	44
55210	122	108	119	151
339453	0	0	0	0
29101	212	167	203	187
643988	14	10	32	22
105378586	0	0	0	0
142678	45	44	46	44
