GeneID	control	control	perturbed	perturbed
100287102	7	18	19	16
653635	2578	2752	2525	3369
102466751	101	82	99	134
107985730	11	8	9	5
100302278	3	1	2	2
645520	3	4	7	11
79501	0	0	0	0
100996442	127	95	123	120
729737	313	423	385	496
102725121	6	19	14	18
102723897	2457	2641	2556	3307
102465909	41	46	47	61
107985721	11	12	10	14
112268260	69	66	73	83
729759	1	3	2	1
100132287	704	834	784	1000
105378947	9	4	7	10
101928626	0	0	0	0
113219467	3904	4813	4255	6075
81399	39	27	33	34
100133331	1053	1144	1075	1396
107984841	231	261	271	265
107984847	303	340	365	426
107984849	59	49	71	65
100288069	350	232	288	327
105378580	171	121	118	182
400728	56	75	56	60
79854	332	273	242	292
643837	3790	3312	4006	4476
107984850	3	13	14	14
284593	12	7	7	8
284600	1139	1341	1467	1933
100130417	735	988	854	1112
107985728	514	735	479	778
148398	2975	4409	3538	4939
26155	28409	29604	30814	35024
339451	5969	8096	8927	12323
84069	967	1322	1291	1842
84808	240	343	323	392
57801	345	503	466	661
9636	3667	4530	4792	5053
375790	9291	12032	14008	18928
100288175	188	153	199	195
112267874	94	82	107	132
105378948	440	441	493	655
401934	112	118	189	196
54991	1693	2482	2232	2888
254099	0	0	0	0
406984	8	23	10	20
406983	13	15	10	32
554210	46	77	83	124
100506376	3	10	5	5
254173	34	25	20	28
8784	63	81	71	105
7293	11	8	8	10
51150	22419	23992	22273	27456
126792	4872	5306	4824	5613
388581	37	64	65	87
118424	6180	7239	7231	8420
101928895	227	252	287	261
6339	578	722	570	763
116983	7704	8905	9076	11840
102465434	6	5	5	9
109623456	38	58	67	80
126789	2401	3213	2920	3348
54973	11402	12521	12177	14119
102465435	42	81	89	144
80772	6420	8394	8620	10343
83756	392	457	579	577
1855	14539	19722	18966	23456
102466740	15	20	16	18
54587	2918	2882	3394	3795
54998	12251	15741	12856	15416
81669	11977	12441	11711	16127
148413	7933	7499	6800	7291
55052	12526	11868	11510	12679
107984868	26	8	15	16
441869	22	9	8	21
105378585	1	6	5	7
643965	0	1	0	0
102724312	192	247	221	223
107985729	307	302	286	341
64856	7489	8413	9620	11298
219293	411	456	547	773
83858	5960	6717	6114	7681
55210	7329	8654	9336	12152
339453	4	23	23	19
29101	17316	16970	16850	17810
643988	10713	12945	14538	15558
105378586	109	181	211	312
142678	3875	4167	4415	6087
8510	178	197	234	270
984	7299	7173	6985	8253
