GeneID	control	control	control	control	perturbed	perturbed	perturbed	perturbed
100287102	1	2	3	6	2	1	2	1
653635	1044	1064	958	1252	865	836	848	880
102466751	29	34	41	47	21	10	15	20
107985730	1	2	1	1	1	2	0	1
100302278	1	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0
100996442	131	93	78	122	73	57	87	94
729737	1120	993	958	1260	939	770	869	759
102725121	1	1	1	1	0	0	0	0
102723897	1048	1050	1009	1310	858	854	876	859
102465909	12	13	14	24	9	4	10	9
107985721	2	2	2	1	1	2	2	3
112268260	80	77	48	84	44	33	34	36
729759	0	0	0	0	0	0	0	0
100132287	436	367	380	471	383	306	340	325
105378947	13	14	10	11	3	4	1	1
101928626	0	0	0	0	0	0	0	0
113219467	3034	2922	2720	4270	1485	1514	1719	1736
81399	9	9	7	14	8	4	6	1
100133331	288	254	239	337	269	219	262	205
107984841	93	51	62	67	41	36	53	53
107984847	123	63	73	111	70	46	69	74
107984849	30	16	33	26	14	5	22	20
100288069	108	93	93	90	65	54	64	89
105378580	31	30	23	20	18	10	17	25
400728	12	16	3	8	8	8	8	17
79854	37	57	41	42	20	23	22	18
643837	1474	1293	956	1377	1074	1016	1233	1020
107984850	1	0	0	2	0	1	2	0
284593	1	1	3	0	4	3	1	3
284600	124	113	112	118	95	58	66	82
100130417	17	13	22	28	33	9	14	19
107985728	0	0	2	0	0	2	0	3
148398	543	516	470	596	458	445	409	338
26155	9278	8732	6952	9243	6670	6723	7066	6510
339451	1578	1558	1959	1937	1297	1099	1316	1201
84069	551	464	574	584	418	364	373	370
84808	66	62	68	83	46	53	55	49
57801	228	246	638	261	524	414	251	191
9636	1644	1569	1615	1637	4083	3747	1981	1769
375790	8595	8109	12011	10886	17333	12384	14051	10852
100288175	119	132	129	148	290	276	201	188
112267874	75	75	68	64	146	117	90	82
105378948	149	157	139	150	257	233	199	164
401934	237	253	279	241	509	418	311	251
54991	848	795	936	902	835	809	802	639
254099	3	2	7	10	0	3	6	8
406984	5	7	14	10	6	13	4	1
406983	6	13	13	12	15	5	12	14
554210	25	39	50	30	29	16	10	14
100506376	5	6	5	7	6	0	4	7
254173	12	15	22	24	10	4	22	12
8784	150	137	263	167	652	488	364	276
7293	1	2	0	5	4	2	0	2
51150	5705	5457	5992	5667	8267	7142	6432	5486
126792	1601	1449	1828	1681	2510	1907	1881	1587
388581	16	9	20	17	59	45	41	26
118424	2146	1832	2354	1970	2533	2133	2044	1686
101928895	48	54	78	79	94	103	72	70
6339	154	147	152	180	329	245	240	229
116983	2342	2295	2860	2693	2881	2466	2349	2051
102465434	1	1	1	1	0	0	2	1
109623456	21	12	19	19	5	7	11	14
126789	1350	1195	1587	1362	1695	1477	1293	1032
54973	4241	4107	3553	4352	4563	4222	4071	4112
102465435	3	6	4	5	4	7	7	2
80772	853	764	928	914	1377	927	856	616
83756	81	94	94	105	136	130	137	102
1855	8050	7737	9885	8949	15546	13532	11994	10092
102466740	3	4	15	9	3	5	11	4
54587	346	335	464	396	259	158	188	153
54998	2904	2640	3837	2831	3665	2930	2671	1849
81669	5263	5273	5820	6081	4584	4025	4423	4149
148413	1436	1243	1016	1320	1102	1110	1126	992
55052	2788	2601	1819	2402	1747	1845	1740	1764
107984868	34	26	27	33	28	20	18	33
441869	682	665	632	718	718	607	708	600
105378585	40	48	41	56	58	47	57	51
643965	1	0	1	3	5	2	6	3
102724312	45	45	48	82	108	99	113	77
107985729	54	59	85	68	124	111	107	98
64856	2906	2595	2924	2959	3543	3007	2870	2479
219293	247	203	212	279	241	179	209	194
83858	3592	3631	3457	3826	2062	1729	1908	1825
55210	4747	4467	4724	4869	3914	3593	3772	3125
339453	1	5	12	5	19	24	6	9
29101	5870	5659	4538	5377	5488	5149	4980	4691
643988	2020	1811	1746	2026	2162	1953	2281	1804
105378586	46	39	136	50	198	138	111	66
142678	1724	1667	2529	1983	3256	2439	2145	1685
8510	90	105	118	130	49	70	50	56
984	3040	2894	2661	3277	1746	1553	1882	1654
728661	3730	3304	2868	3611	3958	3796	3924	3734
8511	4	10	29	20	10	8	2	7
728642	2223	2112	2065	2477	1451	1285	1511	1402
9906	1016	932	786	953	1122	1086	1061	974
112268218	384	364	346	414	525	467	369	415
65220	6029	5706	5510	5840	7387	6736	6096	5669
2782	24052	21960	16713	22128	19515	19880	21202	20445
105378949	16	26	25	17	27	27	41	19
163688	9	12	20	13	9	5	8	4
339456	889	857	906	861	1064	1032	950	802
85452	14	16	25	28	51	62	49	57
107984872	6	7	0	3	7	8	2	7
105378589	8	10	9	13	38	27	32	42
2563	74	83	89	126	303	265	204	175
105378590	1	0	0	2	6	0	3	0
105378591	0	3	0	3	0	1	0	0
5590	2065	1931	1710	1950	2601	2424	2380	2393
100506504	116	137	163	177	121	108	123	103
199990	1319	1092	1564	1283	2369	1859	1795	1323
112268219	190	165	161	199	95	69	118	99
105378593	3	5	4	4	2	2	5	2
6497	5480	4753	5338	5454	6528	5119	5600	4902
79906	269	231	276	291	237	237	237	201
100129534	80	55	47	57	45	34	52	39
11079	3855	3686	3435	3627	4209	4020	3686	3329
5192	1641	1477	1442	1591	1909	1735	1609	1471
9651	54	37	105	65	307	206	218	142
55229	1735	1567	1599	1794	1524	1419	1503	1332
388585	0	0	1	0	5	0	1	2
115110	253	274	264	319	378	312	294	276
8764	1055	1061	1058	1231	1431	1345	1148	1151
100996583	17	15	26	13	45	36	31	27
127281	4106	3893	3456	4114	3959	3807	4028	3509
79258	610	590	639	646	915	828	780	727
105378597	0	0	0	0	3	0	2	0
100287898	11	8	3	20	9	7	10	2
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	7	6	15	18	11	14	12	13
63976	335	258	306	314	574	403	508	462
100422968	3	0	0	0	0	0	0	0
105378606	0	0	0	0	0	3	1	0
107984909	44	29	48	48	29	15	5	22
105378605	0	1	0	0	0	0	1	0
105378604	41	33	20	39	54	26	32	25
27237	2021	1953	2044	2253	2406	2188	2125	1915
1953	1523	1382	1837	1992	1926	1510	1887	1767
105378608	1	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	2386	2127	1775	2136	2473	2504	2486	2425
49856	2420	2308	1844	2486	2022	2027	1988	2084
7161	1133	1047	1028	1142	1018	885	1082	896
105378610	10	1	6	7	12	13	16	12
105378609	0	0	0	0	0	0	0	0
57212	505	468	457	594	183	182	140	163
148870	27	18	18	14	30	32	30	33
388588	38	39	46	45	156	132	113	63
57470	3328	3064	2995	3302	3453	3346	3213	3164
9731	1795	1571	1290	1716	1894	1775	2022	1779
1677	1212	1144	940	1059	898	1024	1044	1025
107984910	53	58	26	44	44	26	34	40
339448	2306	2082	1668	1911	1562	1440	1470	1365
100133612	1	6	3	9	4	2	6	2
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	0	0	0	0	0	0	0	0
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	1	1	0	1	2	0	0
261734	893	906	737	944	1039	895	990	924
8514	3175	3157	2756	3377	2616	2233	2518	2238
26038	50	48	82	87	103	83	102	108
105376687	4	11	1	6	8	8	12	15
6146	25663	22837	18503	21970	25528	28534	26972	26613
107985733	33	65	80	37	62	96	91	36
102724450	7	9	11	14	12	7	3	18
388591	775	792	835	1038	515	413	474	478
23463	8876	7848	6542	7969	5694	5580	5908	5666
148645	26	12	25	30	21	26	32	16
390992	0	0	0	0	0	0	0	0
387509	482	413	400	476	2327	1972	1775	1622
11332	5143	4842	4183	4889	3391	3058	3588	3287
54626	66	57	69	77	488	381	331	319
83715	1491	1458	2080	1780	4316	3181	2977	2382
100422975	0	0	0	1	0	3	0	0
8718	519	473	626	619	539	410	444	379
57449	1391	1398	1494	1836	1705	1379	1626	1498
79707	2873	2483	1975	2741	1591	1446	1803	1727
80835	0	1	9	1	5	2	1	3
107984912	0	1	0	0	0	0	0	3
3104	710	715	616	742	675	653	769	654
9903	5474	5152	4917	5558	6913	6170	5682	5272
107984913	6	4	4	4	5	6	2	3
148479	2439	2201	1836	2252	2597	2564	2648	2494
90326	1973	1771	1455	1868	1481	1405	1359	1361
55735	5270	4960	3628	5146	3164	3252	3604	3478
100505887	0	0	0	0	0	0	0	0
110841581	10	3	17	14	7	7	4	1
23261	2080	1815	1599	1722	2167	2007	2032	1955
105376692	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	1
105376689	26	20	28	27	11	10	11	15
9341	6562	6295	4721	5814	5315	5668	5683	5382
8863	687	723	554	678	487	529	562	541
10911	48	44	32	32	25	34	18	16
3604	18	41	24	17	207	189	182	173
11315	4307	4076	2878	3500	2846	3147	3021	2945
54206	9373	9607	8678	10114	9466	10209	10663	9909
107984915	0	0	0	0	1	0	0	0
102724539	0	0	1	0	0	1	0	0
105376695	0	0	0	0	0	0	0	0
50651	253	270	209	288	647	617	550	459
473	7892	6934	5404	7825	6555	5418	6526	5813
102724552	4	0	3	0	0	0	0	0
106632271	0	0	0	0	0	0	0	0
2023	94908	90512	61090	88927	87598	93053	96605	93276
102465436	13	5	4	7	10	8	38	4
100505975	36	17	35	24	42	31	12	27
112268261	0	0	0	0	0	0	0	0
765	0	1	0	0	1	1	0	2
155184	2	2	0	0	0	1	4	1
6518	14	19	18	17	15	12	12	3
80045	1883	1823	1349	1834	2981	2650	2876	2676
106614088	82	80	53	77	95	74	63	40
407040	1	1	1	1	1	3	3	1
102724571	22	14	29	21	29	19	22	18
9563	2641	2199	2047	2530	5842	5006	5056	4827
80176	960	864	733	832	1276	1260	1171	1150
100506022	12	6	3	4	1	12	0	3
84275	1243	1078	936	1033	1100	1090	1095	1099
199953	2293	2161	2080	2385	2063	1785	1975	1826
107985734	70	52	54	69	57	52	61	54
105376712	0	0	0	0	0	0	0	0
5293	521	470	428	532	1095	994	972	952
644997	0	0	0	0	2	0	0	0
101929074	74	66	47	37	227	158	166	157
22883	15063	13566	11300	15193	18634	16171	17612	16278
56998	1233	1197	921	1143	1455	1466	1650	1422
105376717	62	100	55	64	70	76	110	79
84328	2114	1858	1392	1725	1649	1725	1751	1659
64802	467	460	310	385	393	362	353	391
113391335	0	0	2	2	1	3	0	1
100847055	0	0	0	0	0	0	0	0
116362	5	4	6	1	50	75	52	47
10277	4903	4410	3172	4674	3233	2986	3463	3210
23095	5568	4847	3192	4906	4366	3912	4260	4140
105376725	2	0	2	1	0	0	1	1
5226	14060	13312	9988	13016	8179	8784	9570	8970
100526739	399	341	313	338	239	233	259	255
378708	449	392	343	385	270	272	284	267
1325	23	33	18	41	25	25	26	27
1676	5403	4878	3922	4815	6397	6187	5788	5675
5195	1561	1402	1231	1628	1393	1243	1428	1293
54897	790	739	813	880	880	669	774	636
105376733	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0
148345	1	0	0	0	0	0	0	2
23435	14506	13380	9760	13053	7513	8197	9042	8445
10747	90	71	72	70	61	73	76	57
6723	4955	4463	3480	4332	3014	2746	3056	2711
5394	3473	3293	2372	3296	2213	2223	2413	2277
105376736	121	125	96	130	95	86	101	94
2475	6565	5931	4211	6320	3953	3506	4546	4318
100873935	131	97	71	113	53	57	75	66
10218	3	0	1	0	0	0	0	0
29914	2072	1793	1400	2014	1773	2040	1990	1838
105376737	0	0	0	0	0	0	0	0
