GeneID	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	perturbed	control	control	control	control	control	control	control
100287102	2	2	1	6	3	4	5	5	3	4	5	4	7	1
653635	229	166	192	294	300	298	233	352	257	312	371	389	319	160
102466751	9	8	8	7	7	7	6	8	7	7	7	7	10	8
107985730	0	0	0	0	0	0	0	1	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	12	8	7	10	18	19	5	18	23	24	12	21	24	8
729737	184	204	167	297	276	282	141	401	403	369	393	595	476	207
102725121	2	2	3	10	6	3	4	5	4	7	4	3	8	3
102723897	336	248	268	394	382	385	322	461	330	406	460	490	393	213
102465909	3	5	4	4	7	4	2	4	4	3	5	5	6	6
107985721	0	0	0	0	1	0	1	1	0	0	0	0	0	4
112268260	4	1	8	2	3	6	5	3	4	4	4	3	4	3
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	94	101	91	161	146	163	84	239	221	221	183	315	246	104
105378947	0	0	1	1	0	0	0	1	0	0	0	1	1	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	4079	5210	5765	2850	1978	2648	2622	2709	2772	3250	5694	4407	1747	2036
81399	1	1	0	1	1	0	0	0	1	1	1	1	0	1
100133331	60	69	68	119	108	119	56	158	162	157	152	217	182	76
107984841	1	3	4	7	7	14	2	10	27	14	6	28	21	9
107984847	5	5	10	9	13	19	3	19	20	23	17	37	35	9
107984849	1	1	5	3	1	4	0	5	2	3	1	9	7	1
100288069	3	4	3	5	10	14	3	15	34	20	8	28	35	6
105378580	5	5	7	2	10	8	10	9	9	7	7	15	13	10
400728	1	4	5	7	9	5	4	5	1	6	5	9	6	4
79854	19	10	17	16	16	15	14	22	18	13	16	23	23	18
643837	75	48	53	85	108	86	56	105	166	155	118	163	169	69
107984850	0	1	0	0	0	1	1	0	0	1	1	0	1	0
284593	0	1	0	2	0	1	0	0	1	0	1	2	2	2
284600	2	0	0	1	0	0	1	3	2	0	0	1	3	1
100130417	0	0	1	0	0	0	0	1	0	0	0	0	0	0
107985728	0	1	0	0	0	0	0	0	0	1	2	0	0	1
148398	115	63	82	95	114	93	101	128	119	167	184	202	123	80
26155	1065	493	664	1064	1584	1294	976	1747	1807	2127	1841	2464	2099	670
339451	141	109	146	171	173	136	142	219	190	187	227	232	229	189
84069	39	28	28	45	74	80	57	79	96	133	116	105	115	31
84808	13	10	5	11	6	11	15	15	17	27	20	17	17	7
57801	272	212	194	201	308	291	255	315	156	244	267	218	196	132
9636	3700	2346	2495	2888	3872	3034	3759	4203	1671	2769	2688	2812	2092	2082
375790	3050	2065	2336	4994	5571	5563	2800	8678	11889	13301	11205	13515	11424	2490
100288175	33	30	21	30	28	25	23	32	15	29	30	31	24	19
112267874	13	10	8	8	9	11	13	10	10	12	17	15	7	11
105378948	75	73	71	80	68	62	43	80	44	64	83	83	61	56
401934	21	10	13	17	24	29	11	20	22	34	23	29	19	12
54991	111	76	98	138	188	158	111	204	161	216	196	228	206	91
254099	3	8	3	11	13	8	5	9	3	4	4	16	7	4
406984	2	2	4	5	1	1	1	4	2	3	2	3	4	2
406983	1	5	2	4	1	0	1	1	2	5	2	5	4	1
554210	9	7	13	15	15	17	2	10	4	11	11	20	9	7
100506376	1	0	1	2	11	3	1	2	2	3	0	2	1	2
254173	14	16	17	18	24	37	23	8	15	8	8	7	19	4
8784	4	4	1	0	7	1	3	2	0	0	2	0	0	0
7293	2	2	0	2	1	0	0	0	0	1	0	5	0	1
51150	953	556	521	1311	1441	1404	903	2053	2117	2668	2328	2551	2358	699
126792	514	298	281	474	712	586	490	595	581	768	645	663	716	309
388581	15	10	20	8	12	20	17	58	26	39	36	43	37	21
118424	350	180	195	383	528	440	367	592	522	705	651	681	673	197
101928895	1	1	0	1	2	0	1	1	3	0	2	1	0	0
6339	5	5	3	3	5	4	8	10	9	3	2	5	5	4
116983	317	236	199	398	537	429	270	529	444	539	511	584	521	239
102465434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109623456	2	1	0	1	1	1	1	1	1	0	1	4	1	1
126789	263	161	149	230	413	363	294	318	279	407	327	292	326	142
54973	823	474	530	986	1246	1028	780	1300	1141	1459	1296	1433	1286	498
102465435	0	0	1	2	8	2	1	3	3	5	2	2	3	1
