GeneID	perturbed	perturbed	perturbed	control	control
7105	9328	8377	9576	11131	9956
64102	75	67	58	75	70
8813	5841	5372	3778	5224	4835
57147	518	528	532	552	551
55732	2398	2221	2083	2288	2283
2268	35	40	32	8	26
3075	0	1	0	1	0
2519	7538	6732	5385	5276	4751
2729	2931	2799	3504	4061	3917
4800	3434	3282	3980	4422	4739
90529	934	875	783	638	833
57185	663	677	966	941	893
81887	11997	11573	9419	8603	9306
22875	271	234	192	333	410
6405	3646	3429	4183	2767	3952
1080	92	98	119	200	112
54467	3320	3139	4338	5603	6092
1595	8105	7585	9609	11808	12207
889	1549	1506	2027	3039	3224
5893	412	368	711	917	766
572	795	885	599	408	486
51056	6401	5989	5476	6277	5983
4267	4075	3776	5217	4394	3367
9957	36	29	74	46	78
26	16	15	29	21	31
51384	25	18	4	14	17
23072	583	601	611	799	706
8379	2321	2275	1892	2072	2061
3927	32737	30731	30309	29697	29696
29916	2359	2215	2034	1702	1951
55365	21	16	22	7	8
4074	6034	5507	6001	6618	6604
90293	813	829	843	854	928
56603	26	40	26	25	27
3382	1831	1635	1532	1917	1853
79007	6338	6048	6750	5992	5216
57679	5419	4965	6415	6417	7822
843	619	584	494	361	395
8837	941	921	909	727	841
7035	402	440	112	134	58
55471	3008	2877	3266	3774	3936
10181	3906	3717	4579	4486	4723
9108	414	401	402	555	659
6542	1419	1300	3037	4618	5130
381	10078	9663	7455	5836	6684
23098	343	313	270	235	233
26073	10545	9542	9605	9677	9176
23129	4925	4844	6035	4626	4546
204	10470	9579	10298	10542	11110
952	40	36	29	12	20
2288	35019	32644	32573	26877	33042
23028	37218	33833	34970	30572	35273
10180	6318	5944	6794	7818	8315
84254	802	662	1245	988	1316
5965	2052	1965	2093	3632	3474
55610	791	739	683	1104	1003
126393	18	13	23	32	35
115703	1892	1707	1575	1153	1698
4706	10436	9523	6503	5776	6468
5166	3	3	4	3	4
85413	5	11	3	11	9
51364	15	8	15	8	6
340273	0	2	0	0	1
170302	14	9	9	23	12
10165	11843	10780	9469	8533	9290
7982	1691	1517	1491	1743	1777
93655	1691	1517	1491	1743	1777
996	4950	4550	5225	6027	6490
6521	9	13	6	3	9
799	105	98	162	222	168
3052	3520	3347	3425	3564	3320
1856	5724	5190	4518	4109	4450
64063	87	63	135	111	130
5976	12895	12393	12817	13510	13253
8935	258	228	213	301	254
292	45169	40523	29509	24455	28066
55013	1444	1314	1042	1022	1034
3207	0	0	0	0	0
5439	2437	2288	1849	1571	1585
56919	10615	9907	10354	11112	12225
4222	2	1	6	1	0
221981	145	104	127	160	87
3980	9434	8686	9283	8868	10670
79657	3368	3154	3009	5513	5378
6296	107	98	203	141	252
81691	665	609	542	558	656
57019	8988	8103	7592	7601	7281
56928	2742	2618	3334	2962	3034
80256	939	969	1080	871	889
51226	15	13	10	5	6
5577	3338	3191	2701	3919	4167
10943	1253	1092	2067	2651	2628
1387	7631	7198	8899	9626	9272
9256	577	521	515	411	534
4353	9	15	7	0	3
5444	94	43	15	9	12
6936	1022	1002	1263	1893	1996
84058	3617	3360	1921	1897	1964
54677	209	196	264	380	364
5244	104	107	104	70	106
