GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	0	1	0	0	1	1
653635	276	280	271	399	324	287
102466751	4	5	2	5	2	3
107985730	0	0	0	0	0	1
100302278	0	0	0	0	0	1
645520	2	1	1	1	2	1
79501	0	0	0	0	0	0
100996442	5	5	3	2	3	2
729737	29	21	22	40	29	21
102725121	1	2	1	0	1	1
102723897	234	253	236	308	278	220
102465909	2	2	2	4	2	2
107985721	2	0	0	1	2	0
112268260	3	6	3	1	3	1
729759	0	0	0	0	0	0
100132287	48	46	49	71	66	56
105378947	0	1	2	0	0	0
101928626	0	0	0	0	0	0
113219467	325	341	397	457	409	296
81399	0	1	1	0	2	3
100133331	60	63	52	79	93	69
107984841	19	15	13	22	17	11
107984847	22	15	15	22	15	17
107984849	4	4	2	8	5	2
100288069	21	22	18	18	23	20
105378580	22	25	15	20	27	30
400728	84	68	57	69	81	52
79854	31	30	38	34	29	24
643837	589	669	597	794	741	620
107984850	0	1	0	0	0	1
284593	0	2	1	2	0	0
284600	2	3	11	2	5	6
100130417	4	3	4	3	2	1
107985728	4	4	7	1	0	1
148398	329	345	340	370	324	282
26155	4747	4856	4391	5796	5536	4577
339451	180	194	151	220	198	162
84069	204	212	198	245	239	208
84808	26	17	18	21	27	32
57801	5	14	11	11	20	15
9636	293	373	311	382	310	316
375790	2241	2335	2182	2349	2106	1830
100288175	34	49	37	43	31	31
112267874	8	9	7	14	12	6
105378948	20	24	26	34	23	18
401934	0	0	0	3	1	0
54991	303	278	320	401	356	345
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	0	0	0	0	0	0
254173	0	0	0	0	0	0
8784	0	0	0	0	0	0
7293	0	0	0	2	1	0
51150	4921	5337	5147	6045	5561	4835
126792	443	451	521	634	570	509
388581	5	12	2	8	7	5
118424	1501	1626	1810	2245	2136	1781
101928895	12	14	22	14	17	21
6339	28	28	52	74	54	65
116983	1154	1171	1123	1008	919	871
102465434	0	1	1	1	1	0
109623456	1	2	1	2	1	2
126789	421	485	443	448	406	396
54973	1912	2037	1965	2042	1885	1719
102465435	5	3	4	6	8	6
80772	844	969	979	1036	998	806
83756	18	23	19	21	15	17
1855	2641	2813	2660	2540	2430	2168
102466740	6	4	2	4	1	3
54587	40	47	40	23	8	22
54998	2941	3212	3104	3023	2880	2422
81669	806	864	826	1007	940	850
148413	404	413	370	450	438	356
55052	2286	2389	2285	2529	2394	2089
107984868	0	0	0	0	0	0
441869	1	1	0	0	0	0
105378585	0	0	0	0	0	0
643965	0	0	0	0	0	0
102724312	0	1	0	0	0	0
107985729	0	1	0	0	0	0
64856	0	1	1	0	0	0
219293	77	83	79	121	97	86
83858	2321	2392	2283	2393	2373	2107
55210	3285	3400	3221	3649	3356	2985
339453	2	3	1	3	4	1
29101	2378	2467	2437	2832	2474	2158
643988	1	0	0	0	0	0
105378586	1	0	0	0	0	0
142678	446	522	527	515	506	437
8510	15	16	19	20	27	15
984	1487	1504	1508	1755	1694	1511
728661	498	544	517	628	549	463
8511	3	4	2	5	3	1
728642	480	497	448	495	459	390
9906	227	238	210	229	219	173
112268218	74	62	66	82	79	68
65220	993	984	896	1139	1114	988
2782	11304	11717	11134	12540	11453	10270
105378949	10	3	3	11	7	4
163688	0	0	2	0	0	1
339456	3	0	1	0	1	0
85452	0	0	0	0	0	0
107984872	0	0	0	0	0	0
105378589	0	0	0	1	0	0
2563	0	0	0	0	0	1
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	82	83	65	96	92	95
100506504	5	8	3	12	6	5
199990	608	649	618	663	586	499
112268219	62	60	64	76	46	54
105378593	0	0	0	0	0	0
6497	1267	1392	1284	1893	1783	1586
79906	135	125	129	109	105	92
100129534	11	17	26	8	12	5
11079	3212	3272	3247	3985	3554	3102
5192	620	700	665	650	611	539
9651	11	16	29	7	10	7
55229	443	508	471	605	577	523
388585	0	0	0	0	0	0
115110	19	22	13	45	33	31
8764	83	102	107	196	157	150
100996583	0	0	1	0	1	0
127281	701	728	702	831	768	695
79258	104	102	91	116	98	95
105378597	0	0	0	0	0	0
100287898	0	0	0	0	0	0
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	1	2	0	4	0	0
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	1	0
27237	0	0	0	0	0	0
1953	6	0	3	1	2	0
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	657	681	637	886	842	750
49856	300	299	317	323	316	305
7161	5	3	3	2	5	1
105378610	1	0	3	2	5	2
105378609	0	0	0	0	0	0
57212	178	198	182	296	256	286
148870	0	0	0	0	0	0
388588	0	0	0	0	0	0
57470	996	966	952	1313	1216	1070
9731	557	539	561	625	565	467
1677	129	145	153	132	129	133
107984910	5	5	8	5	6	10
339448	388	425	383	510	498	443
100133612	6	2	5	1	4	2
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	1	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	0	0	0	0	0
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	0	0	0	0
261734	190	234	220	199	183	157
8514	170	165	171	286	224	254
26038	1	0	2	0	0	2
105376687	0	0	0	0	0	0
6146	6043	6104	6045	6654	6136	5162
107985733	26	44	30	19	43	41
102724450	0	0	0	1	0	0
388591	9	11	7	10	11	11
23463	2991	3087	2831	3736	3493	3058
148645	1	2	3	6	8	5
390992	0	0	0	0	0	0
387509	62	57	69	81	62	63
11332	3309	3373	3105	4096	3700	3435
54626	0	0	1	0	0	0
83715	6	2	8	8	2	5
100422975	0	0	0	0	0	0
8718	52	31	40	57	45	42
57449	268	309	273	232	197	199
79707	904	882	785	999	904	848
80835	11	5	10	8	7	10
107984912	0	0	1	2	3	0
3104	238	225	213	273	245	233
9903	5820	5858	5701	6690	6357	5798
107984913	6	12	4	13	15	15
148479	738	676	701	1024	856	809
90326	756	784	786	963	914	791
55735	2443	2633	2384	2970	2806	2474
100505887	0	0	0	0	0	0
110841581	10	7	3	4	7	2
23261	917	894	962	1037	998	859
105376692	1	1	0	0	0	0
102725193	1	0	0	0	0	0
101928836	2	0	0	0	0	1
105376691	0	0	0	0	0	0
105376689	0	0	0	0	0	0
9341	5301	5587	5240	6392	5899	5174
8863	405	390	367	595	492	455
10911	14	30	22	11	12	10
3604	508	548	468	163	176	132
11315	8774	8708	8618	8424	7886	6948
54206	4741	4770	4732	4329	3973	3478
107984915	4	5	2	1	3	1
102724539	2	4	5	1	0	1
105376695	0	2	0	0	0	0
50651	40	34	43	59	66	42
473	1444	1512	1442	1836	1702	1478
102724552	0	2	0	3	1	0
106632271	0	0	0	0	0	0
2023	120166	123875	116840	110236	102406	90300
102465436	13	9	13	10	12	7
100505975	37	48	60	35	34	44
112268261	3	0	4	2	0	0
765	3	2	0	0	2	0
155184	0	1	0	0	0	0
6518	3	1	1	4	3	4
80045	196	176	183	305	278	255
106614088	98	93	79	172	153	136
407040	4	4	4	10	3	5
102724571	21	19	16	31	25	18
9563	1233	1247	1121	1026	936	812
80176	910	948	844	1173	1023	910
100506022	14	23	19	12	7	14
84275	326	326	290	443	401	342
199953	985	1132	1029	1513	1213	1205
107985734	23	25	17	24	24	24
105376712	0	0	0	0	0	0
5293	1334	1399	1307	1919	1745	1500
644997	0	0	0	0	0	0
101929074	17	13	6	12	21	10
22883	4553	4435	4306	5455	4798	4440
56998	107	114	104	118	126	107
105376717	15	19	10	21	17	14
84328	984	955	927	1108	1054	933
64802	341	337	319	387	368	315
113391335	0	0	0	0	0	0
100847055	0	0	0	0	0	0
116362	0	0	0	0	0	0
10277	1478	1503	1534	1848	1762	1552
23095	2210	2288	2146	2507	2370	2062
105376725	0	0	1	1	1	0
5226	6144	6233	6007	8940	8393	7283
100526739	319	328	327	385	323	321
378708	320	325	331	383	325	332
1325	20	18	11	23	22	19
1676	1796	1891	1793	2310	2173	1895
5195	783	662	781	1037	951	847
54897	42	48	56	20	44	24
105376733	0	0	0	0	0	0
105376735	0	0	1	0	0	0
148345	0	0	0	0	0	0
23435	4897	4699	4588	5493	5188	4461
10747	21	13	17	23	14	15
6723	5411	5889	5412	5032	4571	4099
5394	2357	2399	2332	2844	2653	2338
105376736	134	164	173	191	182	154
2475	2313	2482	2199	2815	2523	2339
100873935	48	40	38	52	39	39
10218	2	1	1	1	0	0
29914	552	546	551	775	730	631
105376737	0	0	0	0	0	0
105376739	0	0	0	0	0	0
105376740	0	0	0	0	0	0
57540	0	0	0	3	2	1
112268221	0	0	0	1	1	0
101929181	1	1	0	2	1	0
26232	2	4	1	5	6	4
93611	281	323	242	476	461	396
26270	22	25	17	33	38	35
10459	1454	1608	1464	1816	1635	1452
374946	3	1	1	0	3	4
57085	2168	2135	2005	3604	3335	2906
284498	49	54	41	58	43	43
102724659	0	0	0	0	0	0
4524	248	226	212	236	223	203
1185	317	323	316	322	317	269
100379251	34	41	41	37	36	33
4878	4	4	5	1	3	3
4879	0	0	1	0	0	0
26829	0	0	0	2	1	0
