GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	5	5	2	1	4	1
653635	723	748	623	573	624	689
102466751	35	33	31	17	20	25
107985730	2	4	2	2	2	5
100302278	2	0	1	0	1	0
645520	4	3	3	2	3	2
79501	0	0	0	0	0	0
100996442	35	30	41	39	24	31
729737	83	43	40	62	41	42
102725121	0	3	3	2	1	1
102723897	604	585	622	484	548	645
102465909	11	14	12	6	8	12
107985721	8	6	3	4	2	3
112268260	20	12	9	15	13	11
729759	0	1	2	0	0	1
100132287	173	120	123	127	95	116
105378947	6	4	2	3	0	4
101928626	0	0	0	0	0	0
113219467	228	406	520	315	377	486
81399	14	11	12	11	13	11
100133331	273	169	200	220	168	188
107984841	94	49	61	61	48	70
107984847	94	33	48	76	44	54
107984849	20	12	19	28	11	24
100288069	134	109	109	133	94	104
105378580	40	38	33	57	24	39
400728	21	23	21	24	20	46
79854	29	27	40	35	40	42
643837	622	811	673	753	831	1053
107984850	2	0	2	2	2	2
284593	0	1	0	2	0	1
284600	794	844	810	398	499	569
100130417	299	401	418	234	253	300
107985728	482	569	478	226	268	401
148398	1502	1725	1592	977	1241	1526
26155	5715	6828	6026	5154	6046	7886
339451	792	843	859	680	663	816
84069	430	377	421	283	247	276
84808	124	107	85	68	48	53
57801	1261	1048	1020	1052	758	1038
9636	1188	1123	1165	756	736	930
375790	5137	5395	5040	2481	2818	3835
100288175	72	57	75	44	35	59
112267874	63	52	56	46	30	50
105378948	159	95	144	97	65	80
401934	53	68	60	26	39	45
54991	379	443	326	323	326	416
254099	0	0	0	1	0	0
406984	8	7	6	4	4	12
406983	11	18	5	6	7	10
554210	34	11	30	11	19	17
100506376	7	6	4	1	5	13
254173	11	14	5	7	7	7
8784	25	38	28	7	9	9
7293	2	2	4	1	2	2
51150	5548	5605	5270	3640	3366	4482
126792	2531	2798	2634	2488	2412	3184
388581	25	32	41	32	21	24
118424	2143	2149	2069	1715	1716	2244
101928895	80	52	49	49	27	36
6339	250	146	125	123	78	118
116983	2365	2060	2049	1599	1694	2230
102465434	2	1	2	2	1	2
109623456	16	10	12	5	10	8
126789	563	570	549	476	535	656
54973	2437	2416	2331	2046	1864	2518
102465435	17	29	29	16	13	23
80772	1194	1542	1428	929	1219	1560
83756	65	120	115	43	89	104
1855	3778	3724	3420	2813	2868	3734
102466740	3	6	10	5	4	8
54587	1609	1540	1473	1135	922	1126
54998	3449	3629	3767	2873	3220	4033
81669	3283	3136	2923	2684	2181	2657
148413	1207	1409	1501	1025	1169	1421
55052	2799	3811	3877	2822	3156	4278
107984868	4	7	6	1	1	4
441869	17	6	4	21	2	10
105378585	3	1	0	4	0	1
643965	0	0	0	0	0	0
102724312	79	81	76	43	39	62
107985729	73	72	83	45	24	49
64856	2638	2527	2364	1670	1500	1965
219293	82	107	88	45	72	83
83858	1289	1768	1750	1078	1757	2297
55210	1825	2264	2130	1672	2119	2717
339453	41	33	27	23	25	55
29101	3566	4527	4221	3206	3639	4752
643988	1626	1138	1117	1279	935	1113
105378586	227	162	148	166	130	169
142678	1593	1222	1008	1079	783	968
8510	62	67	61	47	57	66
984	1920	2407	2289	1620	2035	2537
728661	4990	4565	4079	3864	2948	3714
8511	13	7	15	5	12	4
728642	1287	1555	1523	1020	1255	1621
9906	1484	1329	1169	1058	912	1010
112268218	215	230	191	197	162	224
65220	2887	2876	2847	2495	2316	2992
2782	11540	10013	9598	10318	7646	9796
105378949	125	89	71	93	68	95
163688	14	36	45	6	26	24
339456	333	343	344	299	298	379
85452	3	0	4	0	1	0
107984872	2	7	3	2	0	1
105378589	0	0	0	0	0	0
2563	13	5	6	8	1	6
105378590	1	2	1	0	0	2
105378591	5	4	4	2	4	2
5590	1265	1116	1044	781	661	829
100506504	93	75	82	50	43	62
199990	1404	1293	1344	1048	920	1166
112268219	457	409	373	380	359	476
105378593	19	15	21	8	15	7
6497	2941	2771	2501	2817	2684	3592
79906	363	272	280	377	327	453
100129534	92	52	51	79	45	43
11079	2849	3067	3089	2987	3181	3805
5192	1311	1343	1370	1935	2325	3111
9651	114	129	135	89	109	125
55229	1115	958	896	866	643	844
388585	0	1	2	1	1	0
115110	18	15	14	5	9	5
8764	48	26	25	19	16	16
100996583	7	10	16	4	14	6
127281	2352	1718	1591	1443	835	1034
79258	422	288	283	312	172	221
105378597	0	11	3	2	6	3
100287898	55	57	62	39	22	30
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	1	0	1	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	3	1	0	6	0	0
100422968	0	0	0	0	0	0
105378606	0	1	3	0	0	1
107984909	1	1	2	0	2	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	0
27237	1272	1018	1078	834	788	921
1953	167	165	159	90	78	96
105378608	7	3	2	2	1	2
693135	0	0	0	0	0	0
105378607	1	0	0	0	0	0
127262	1134	1037	997	1613	1230	1573
49856	372	486	411	404	408	589
7161	256	195	149	132	106	137
105378610	6	6	8	8	6	15
105378609	0	0	0	0	0	0
57212	1293	1235	1135	981	853	1174
148870	29	16	21	18	8	11
388588	93	51	77	36	28	30
57470	2650	2533	2353	2226	1815	2514
9731	1181	1293	1197	956	886	1144
1677	372	497	500	450	538	646
107984910	5	6	3	7	7	12
339448	418	552	502	466	556	642
100133612	28	30	33	25	18	35
728716	0	0	0	0	0	1
105376672	0	0	0	0	0	0
105376673	13	95	112	6	61	86
284661	1	0	1	0	0	1
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	0	0	0	0	0
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	2	0	0	0	0
261734	560	553	487	581	443	582
8514	1079	1147	1088	662	582	708
26038	51	49	50	22	26	37
105376687	2	3	4	4	1	0
6146	8192	9355	9862	7659	6402	8294
107985733	43	72	70	51	44	52
102724450	19	11	11	6	3	5
388591	228	236	245	126	180	231
23463	2524	3111	2987	2716	3045	3921
148645	10	11	5	6	6	9
390992	0	0	0	0	0	0
387509	58	64	69	4	22	21
11332	1197	1447	1352	983	1098	1463
54626	37	107	95	17	58	76
83715	123	193	213	21	78	74
100422975	0	0	0	0	0	1
8718	37	28	20	8	5	15
57449	222	193	184	114	75	85
79707	1234	1400	1323	1181	1406	1717
80835	12	5	11	13	3	12
107984912	1	0	1	1	1	1
3104	612	509	475	495	426	477
9903	1633	1690	1651	1693	1474	1888
107984913	7	12	14	10	12	4
148479	543	635	580	369	423	530
90326	706	890	830	715	674	937
55735	1657	2209	2074	1666	1911	2574
100505887	0	0	0	0	0	0
110841581	31	14	24	28	25	25
23261	950	959	987	685	562	918
