GeneID	control	control	control	control	perturbed	perturbed	perturbed	perturbed
100287102	5	1	1	1	2	4	2	1
653635	276	203	380	254	246	439	288	235
102466751	10	5	12	11	7	17	14	6
107985730	2	3	1	1	1	2	1	0
100302278	0	0	0	0	0	0	1	0
645520	5	1	6	1	5	9	7	3
79501	0	0	0	0	0	0	0	0
100996442	10	19	27	7	11	14	14	15
729737	17	23	20	16	15	28	19	14
102725121	0	2	5	1	1	6	0	1
102723897	313	220	405	301	274	462	312	284
102465909	10	3	8	4	4	9	5	3
107985721	2	2	4	3	0	5	1	4
112268260	7	16	15	12	6	9	9	6
729759	0	0	0	0	0	0	0	0
100132287	61	61	83	60	51	90	50	47
105378947	1	0	7	3	2	6	0	3
101928626	0	0	0	0	0	0	0	0
113219467	366	420	567	703	495	762	509	484
81399	1	1	2	2	0	2	1	3
100133331	55	42	87	62	45	93	54	45
107984841	9	5	19	20	12	20	17	12
107984847	13	6	27	19	15	21	22	12
107984849	1	2	3	2	2	7	3	6
100288069	13	17	30	20	14	18	18	7
105378580	12	10	9	7	13	16	13	12
400728	29	28	47	39	46	53	32	24
79854	16	6	13	7	14	22	20	14
643837	984	709	1348	863	544	944	713	550
107984850	1	2	2	0	2	0	2	0
284593	0	0	1	0	0	0	3	1
284600	36	10	25	19	29	31	37	20
100130417	138	91	178	102	83	180	106	85
107985728	144	125	212	150	139	157	134	88
148398	249	233	405	286	226	383	299	200
26155	1509	1216	2271	1620	1491	2630	1772	1458
339451	342	269	462	280	271	480	325	286
84069	163	132	225	164	193	309	186	185
84808	26	18	32	19	22	37	36	21
57801	112	59	117	84	163	203	138	97
9636	7027	5356	8389	7154	13923	24977	10303	9428
375790	12618	10815	18753	13200	12662	22353	12500	10001
100288175	40	24	28	20	26	35	34	10
112267874	4	8	9	6	5	4	9	4
105378948	23	16	21	13	19	21	25	9
401934	0	0	0	0	0	0	1	0
54991	199	184	323	241	150	308	205	197
254099	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	1	0	0	1	0	0	0
254173	0	0	0	0	1	0	0	0
8784	7	6	15	9	4	10	8	5
7293	4	10	7	0	3	3	3	3
51150	12045	10393	19236	12945	10062	16912	11391	9102
126792	1203	896	1858	1112	1186	1921	1185	924
388581	43	34	74	37	38	81	45	57
118424	933	766	1408	964	818	1396	932	755
101928895	40	31	32	33	48	63	45	39
6339	91	75	109	63	83	134	92	96
116983	2148	1869	3653	2291	1670	3097	2018	1701
102465434	1	0	0	0	0	1	1	0
109623456	19	17	20	13	10	16	5	13
126789	329	312	621	412	279	502	317	253
54973	1105	973	1712	1199	887	1637	1118	878
102465435	5	7	19	10	7	10	12	8
80772	673	548	1067	651	659	1088	659	586
83756	31	28	63	47	31	61	32	46
1855	2412	2045	3973	2529	2179	3791	2536	2025
102466740	3	2	8	6	4	4	3	2
54587	13290	11840	22328	14458	9282	16210	10043	8144
54998	1718	1446	2484	1812	1570	2735	1908	1534
81669	2406	1594	2698	2032	2153	2809	2156	1960
148413	337	246	469	360	358	585	439	338
55052	634	591	1060	686	583	1065	780	599
107984868	0	1	2	4	0	6	2	2
441869	154	140	335	167	136	250	131	118
105378585	5	7	19	4	5	13	6	7
643965	0	0	0	0	0	1	0	0
102724312	0	0	0	0	0	2	0	0
107985729	0	0	0	0	0	1	0	0
64856	140	146	235	190	104	186	108	78
219293	21	18	28	27	16	28	18	16
83858	615	496	847	680	606	992	683	515
55210	935	753	1405	968	986	1613	1149	915
339453	117	90	194	170	123	164	110	67
29101	1749	1593	3131	1867	1824	2985	2051	1484
643988	482	473	798	492	430	742	500	431
105378586	59	73	128	72	57	94	69	67
142678	1769	1533	2564	1965	1432	2364	1856	1366
8510	79	68	111	80	56	112	69	75
984	984	881	1437	1051	821	1422	1035	810
728661	3143	2895	4833	3085	2665	4351	3111	2473
8511	39	34	57	45	31	71	35	41
728642	594	535	890	696	496	833	670	505
9906	930	773	1325	939	822	1394	1021	759
112268218	170	164	265	179	192	313	204	155
65220	1860	1684	2974	1973	2006	3345	2267	1784
2782	11205	9496	17422	11090	10638	17589	12091	9434
105378949	36	36	81	41	43	57	33	35
163688	6	7	15	9	13	19	11	16
339456	0	3	1	1	7	0	1	0
85452	0	0	1	0	1	0	0	0
107984872	0	0	0	0	0	0	1	0
105378589	0	0	0	0	0	0	0	1
2563	1	0	0	0	1	0	0	0
105378590	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0
5590	146	141	233	158	119	250	170	137
100506504	18	12	46	25	33	34	36	28
199990	1266	1180	1969	1449	1203	1950	1330	1086
112268219	69	63	105	90	86	152	82	74
105378593	9	9	27	8	11	14	13	10
6497	2779	2551	4570	2861	1899	3418	2167	1755
79906	69	53	100	64	77	154	95	61
100129534	9	12	25	17	11	54	16	14
11079	3433	2985	5099	3414	3348	5677	3859	2979
5192	668	601	1025	680	645	1025	762	580
9651	37	28	62	41	34	60	51	45
55229	447	380	619	456	310	625	409	344
388585	3	0	0	0	0	0	0	0
115110	158	138	220	182	133	239	143	120
8764	952	719	1332	912	760	1343	825	715
100996583	1	0	9	2	1	2	1	0
127281	576	529	897	587	521	936	671	503
79258	72	56	121	77	63	120	83	69
105378597	0	0	0	0	0	0	0	0
100287898	7	0	2	5	2	4	2	0
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	5	12	11	4	1	9	1	4
63976	68	56	114	82	57	96	53	42
100422968	0	0	0	0	0	0	0	0
105378606	0	0	3	0	0	1	0	0
107984909	1	0	0	1	0	0	1	1
105378605	0	0	0	2	0	0	0	0
105378604	13	8	31	26	5	4	11	10
27237	0	2	2	0	1	1	0	0
1953	732	678	1075	773	398	691	402	420
105378608	2	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	3794	3329	5880	4012	3262	5418	3964	3320
49856	289	177	320	230	234	310	241	196
7161	13	7	9	3	7	8	4	8
105378610	0	0	0	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0
57212	582	440	867	543	473	791	566	478
148870	0	0	0	0	0	0	0	1
388588	2	3	0	0	0	1	9	1
57470	871	717	1543	927	830	1547	886	744
9731	870	728	1251	861	531	1137	741	520
1677	136	75	139	96	89	150	126	87
107984910	8	7	5	12	4	8	6	4
339448	255	236	392	346	261	439	313	218
100133612	2	0	3	4	10	13	6	9
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	1	0	0
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	2	0	0	0
55966	3	2	3	1	0	5	0	0
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0
261734	342	255	513	309	301	399	324	246
8514	769	608	1169	783	553	864	663	535
26038	59	43	61	32	39	65	37	31
105376687	3	0	0	0	0	0	0	0
6146	4642	3941	7089	5009	3731	6165	4741	3695
107985733	43	30	44	35	36	56	40	29
102724450	3	11	21	11	4	11	8	3
388591	154	94	154	105	113	217	127	103
23463	4338	3705	6305	4230	3854	6642	4675	3774
148645	5	0	6	1	1	2	4	2
390992	2	0	0	1	0	0	0	0
387509	1797	1688	3243	1981	1241	2228	1433	1237
11332	2519	2107	3904	2722	2687	4545	3018	2566
54626	54	74	94	59	81	112	62	62
83715	27	27	49	33	33	65	34	27
100422975	0	0	0	0	0	0	0	0
8718	210	144	280	204	240	362	222	177
57449	1203	999	1747	1314	1202	2072	1462	1283
79707	371	399	585	372	457	743	536	408
80835	5	3	5	4	3	1	2	3
107984912	0	1	0	3	0	1	0	0
3104	155	132	208	173	145	261	167	148
9903	5692	4509	8925	5883	4725	8084	5442	4090
107984913	52	38	58	44	19	37	44	18
148479	621	553	1053	705	605	957	743	536
90326	430	344	684	464	392	646	503	355
55735	757	631	1150	794	657	1232	806	687
100505887	0	0	0	0	0	0	0	0
110841581	1	0	2	3	1	6	6	3
23261	333	287	518	362	297	511	371	309
105376692	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	0	0	0	0	1	0	0	0
9341	4222	3514	6101	3933	3685	6171	4032	3450
8863	421	366	693	433	214	373	217	203
10911	9	3	1	5	4	8	7	4
3604	171	204	290	208	186	302	292	181
11315	2718	2288	4054	2781	2501	4284	3065	2276
54206	416	366	560	402	281	436	304	264
107984915	1	1	0	0	0	0	0	0
102724539	0	0	0	0	0	1	0	0
105376695	0	0	0	2	0	0	0	0
50651	97	108	209	119	121	185	128	90
473	1782	1573	2750	1801	1549	2564	1900	1496
102724552	2	0	0	2	2	3	4	0
106632271	0	0	0	0	0	0	0	0
2023	12281	10305	18341	12523	11641	19627	14602	11206
102465436	1	0	1	1	1	1	0	0
100505975	15	18	27	14	14	20	22	17
112268261	0	0	0	3	0	0	1	0
765	0	1	0	3	0	1	1	0
155184	0	1	0	0	0	0	0	0
6518	27	28	39	16	21	37	29	22
80045	231	171	342	239	336	563	387	303
106614088	286	203	338	274	260	385	251	196
407040	6	2	5	4	8	1	2	3
102724571	52	46	80	71	46	87	64	42
9563	5747	5139	8835	5891	3906	6497	4575	3638
80176	1916	1680	2697	2023	1238	1819	1375	1146
100506022	12	23	54	28	28	47	35	34
84275	255	247	411	276	262	498	305	212
199953	172	164	260	170	197	291	223	171
107985734	7	14	6	2	5	11	8	9
105376712	0	0	0	0	0	0	0	0
5293	660	523	787	618	456	822	573	487
644997	0	0	0	0	0	0	0	0
101929074	18	12	18	19	6	17	13	9
22883	6298	5515	9816	6301	5644	9232	6090	4893
56998	717	713	1202	753	584	1081	678	597
105376717	73	49	132	59	58	102	85	68
84328	796	618	1066	723	487	799	509	436
64802	394	331	560	389	319	546	381	327
113391335	5	0	0	0	1	0	1	3
100847055	0	0	0	0	0	0	0	0
116362	2	4	0	0	2	0	0	0
10277	1796	1543	2846	1815	1128	2036	1643	1254
23095	1955	1892	3173	1948	1239	2129	1396	1223
105376725	0	5	0	0	0	1	1	0
5226	7270	6053	10997	7072	5534	9519	6698	5250
100526739	89	80	125	70	99	170	143	98
378708	92	82	123	76	109	186	147	102
1325	10	5	9	7	2	10	10	6
1676	1181	1017	1675	1176	964	1584	1255	912
5195	438	362	701	435	417	713	493	380
54897	7	3	5	8	4	11	7	3
105376733	0	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0	0
148345	2	2	5	0	0	0	0	0
23435	2006	1653	3009	2017	1750	2877	1991	1590
10747	14	19	17	23	18	25	13	17
6723	1448	1384	2509	1674	2097	3599	2279	1900
5394	767	588	1190	770	655	1141	728	617
105376736	46	45	56	45	32	74	33	37
2475	1828	1481	2874	1859	1693	2754	2059	1548
100873935	43	22	63	38	34	67	35	29
10218	1	2	1	1	0	1	0	0
29914	232	171	250	221	227	386	274	206
105376737	0	0	0	0	1	0	0	0
105376739	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0
57540	2	6	2	0	0	4	1	3
112268221	0	1	1	0	0	2	1	2
101929181	1	1	3	0	0	0	0	0
26232	1099	919	1579	1089	937	1597	1180	975
93611	465	426	681	527	352	546	408	310
26270	381	344	548	355	461	738	489	405
10459	452	337	657	487	404	629	443	342
374946	241	161	250	165	75	92	76	50
57085	1041	853	1451	944	1206	2202	1204	1006
284498	370	256	502	342	320	563	359	280
102724659	0	0	0	0	0	0	0	0
