GeneID	control	control	control	perturbed	perturbed	perturbed
7105	2265	2560	2888	2786	3238	3383
64102	0	0	0	3	0	0
8813	3508	4239	4570	6233	6129	6636
57147	1039	895	1350	1153	1212	1566
55732	3366	3286	4253	1658	1799	2185
2268	1	0	1	2	0	0
3075	54	27	57	69	58	74
2519	8120	9611	10185	9202	9800	11164
2729	2775	2047	3365	2393	2328	2689
4800	7248	5224	8915	5495	5682	6547
90529	2162	2329	2814	1729	1766	1991
57185	6828	5358	8505	2654	2993	3419
81887	4799	6786	6647	3182	3248	3876
22875	568	280	629	657	663	734
6405	399	674	707	999	1002	1112
1080	0	0	0	3	5	4
54467	9348	4588	11953	8434	9047	10240
1595	3533	3519	4590	3387	3574	4167
889	2527	1603	3343	2863	2749	3726
5893	508	425	673	782	808	1118
84176	125	187	230	3439	3596	4303
572	2119	6517	4017	3453	3771	2967
51056	4755	5157	5999	4410	4708	5187
4267	16968	26773	21381	9566	10061	10823
9957	667	780	895	251	267	291
26	0	0	0	0	0	0
51384	1	0	0	0	0	1
23072	125	107	180	537	535	677
8379	1524	3256	2593	2131	2335	2312
3927	59019	62188	77095	37905	40389	44941
29916	1742	2051	2009	1803	1985	2277
55365	0	0	0	0	0	0
4074	5207	4288	6404	12811	12831	15350
90293	15	3	2	41	30	46
56603	314	249	429	2918	2961	3487
3382	71	103	108	599	564	669
79007	984	1535	1412	645	759	752
57679	3298	2237	4258	4031	4103	4906
843	756	721	886	1058	1163	1392
8837	7593	8340	9784	5795	5540	7576
7035	12387	10893	14715	13824	13943	15618
55471	1102	1135	1431	1412	1378	1876
10181	6463	6663	8967	8381	7864	11653
9108	7	5	5	4	15	10
6542	939	568	1149	1439	1471	1633
381	5148	10261	7640	5157	5380	5542
23098	194	185	282	307	291	477
26073	10512	13663	13279	7552	8160	8993
23129	4085	4759	6285	12461	13056	14400
204	14638	17623	17974	13774	14164	16841
952	15	12	22	40	42	54
2288	9048	12831	11519	10276	10409	12025
23028	9412	10875	11818	8534	8857	10617
10180	6607	6826	9189	7736	7253	10035
84254	655	904	1008	1886	1813	2186
5965	3690	2840	4801	6688	6774	7987
55610	2037	1597	2807	1936	1890	2752
126393	13	25	13	23	14	18
115703	575	765	1114	363	355	494
4706	1946	3650	2651	2661	2672	2928
5166	1618	1243	2202	463	414	525
85413	1	0	0	0	0	0
51364	95	238	155	83	68	86
340273	1	0	0	0	1	1
170302	2	1	0	0	0	0
10165	3767	3356	4658	4563	4849	5767
7982	1617	1867	1986	1550	1716	1944
93655	1617	1867	1986	1550	1716	1944
996	13431	9018	16882	16459	17369	20740
6521	0	2	0	5	3	4
799	216	145	274	30	43	43
3052	3162	3786	4056	6475	6768	7577
1856	4410	5475	6479	6430	6727	7370
64063	21	53	42	156	122	159
5976	5196	5932	8401	8130	8223	8871
8935	5310	3595	6680	6013	6150	6857
292	21429	32237	27694	15491	16924	18697
55013	3195	3926	3681	2068	2296	2366
3207	0	0	2	0	2	0
5439	2269	4457	3130	2340	2487	2264
56919	3160	2237	3825	3773	3977	4526
4222	1	2	3	6	5	4
221981	2	0	2	1	6	1
3980	3376	2905	4293	2555	2702	3093
79657	2339	2074	3083	4080	4118	4979
6296	45	44	56	36	29	19
81691	331	375	434	335	318	423
57019	2969	3911	3589	4588	5125	5874
56928	1242	2391	2546	1681	1507	2055
80256	2437	3054	3323	2409	2573	2879
51226	222	403	287	345	395	466
5577	130	65	123	1287	1335	1467
10943	1946	1934	2495	5440	5352	7808
1387	2901	1660	4078	4528	5054	5189
9256	1263	1595	2159	504	542	712
4353	0	0	0	0	0	0
5444	0	2	1	1	3	5
6936	1271	1247	1591	1544	1649	2005
84058	3160	5754	4294	4917	5088	5784
54677	746	655	932	709	774	897
5244	3	0	2	0	0	0
55904	6843	2420	8902	7003	7276	8661
57414	2105	4227	3518	4839	5096	5313
30812	0	0	0	0	0	0
25998	7447	4508	9926	9912	9946	11514
7748	1404	1304	1853	1347	1227	1816
23077	2767	1282	3473	6578	7313	7548
26224	2763	1763	3487	3022	3196	3658
3683	0	1	0	2	1	4
5164	2876	3915	3975	2333	2510	2634
3675	82087	103668	122957	95875	102460	110574
7543	2803	1684	3362	3380	3376	4146
3920	22874	16386	28115	18239	18720	21253
3674	49	79	86	41	32	76
51666	19	24	23	19	23	41
51573	5282	6658	6714	8781	9332	10607
55049	264	734	487	466	483	449
9244	3	7	3	153	182	154
114881	873	1218	1577	1063	853	1773
26022	2	8	7	0	0	0
51087	1	2	2	0	0	0
3883	0	0	0	0	1	0
9020	2113	2770	3431	2778	2872	3149
6833	0	0	0	0	2	1
10368	0	0	0	0	0	0
54972	6333	11482	10690	45125	44604	43336
163	42299	32380	51244	25206	27174	30987
6863	1	0	4	0	0	0
10127	1563	1986	1987	1920	1910	2195
6376	1914	2619	2753	42	54	67
64847	3667	5878	6057	6396	6204	8003
8913	2	6	11	17	24	44
51330	4382	7514	6190	7822	9094	8780
1750	0	0	0	0	0	0
4293	1833	1216	2374	2599	2648	3231
5898	7421	7838	9022	6880	6972	7855
55971	4813	5987	7047	2647	2515	3434
80853	1376	629	1658	2514	2562	3306
2115	2356	1337	3216	7753	7777	9375
55750	3498	2813	4281	2245	2446	2850
221	2966	4782	4581	2197	2160	2409
55001	76	73	101	17	14	16
57157	3650	2096	4487	4346	4451	5320
10344	43	71	42	22	22	24
9855	2563	1713	3427	2836	3124	3755
10083	0	0	0	0	0	0
79017	2594	3708	3146	1778	1918	2198
10926	2916	2849	3953	1890	1830	2161
6915	183	323	314	169	169	188
3475	4599	4704	6256	4469	4184	5317
56891	0	0	0	0	0	0
1352	1339	1256	1633	1506	1565	1755
9569	2891	4118	4416	2099	2204	2471
54623	4647	7334	6152	4065	4267	4646
27072	3765	2930	4878	4127	4082	5272
9912	8	10	6	13	8	15
60528	6615	8524	9314	5494	5666	6792
85477	1	3	3	4	2	1
414	804	978	1053	110	159	127
8228	1321	1770	1666	1549	1577	1740
8735	1	0	0	3	0	2
79602	5370	4638	6539	9277	9703	11250
51265	201	293	318	317	321	378
151531	0	0	1	0	2	1
10942	0	0	0	0	2	0
57787	1624	2193	2409	2183	2445	2527
8842	0	2	1	2	1	2
115098	1752	5473	3661	1804	1959	1826
90273	1	0	0	2	0	0
5048	12635	11951	16299	12820	13259	15908
4843	9	12	9	3	0	0
1770	0	0	0	0	2	0
9703	25061	21143	32044	22054	24262	27728
9058	0	0	0	0	1	0
8522	14	15	27	6	2	3
79090	124	327	222	255	218	216
4145	0	1	1	60	62	53
1087	0	0	0	0	0	0
974	0	0	0	7	4	2
6329	5	2	3	8	3	15
54879	987	1176	1287	1541	1697	1900
8277	1	0	0	0	2	1
5080	0	0	0	0	0	0
113000	446	1373	978	974	1079	851
64285	1477	2436	2594	4788	4335	6160
55692	1283	2358	1925	2087	2185	2453
9254	4	5	0	2	0	0
8938	312	609	642	1104	811	1322
115939	1006	2698	1789	1882	1983	1808
9091	1043	2501	2207	2855	2937	2803
57585	1645	1298	2373	3487	3721	4365
7005	5130	6695	7147	4089	4523	5148
6401	0	0	0	0	0	0
55735	4535	4896	6082	4503	4793	5690
2328	0	2	2	2	0	0
29116	1241	997	1435	2104	2145	2590
27035	0	0	0	0	0	2
1870	1091	1189	1445	72	69	112
5689	18201	30084	22536	18434	18995	21277
6853	2	3	0	629	614	804
3720	5331	4059	7169	8248	8150	9870
6792	79	33	101	1660	1682	1939
57172	1	1	0	5	5	5
728642	1539	2333	2437	1795	1716	2607
65220	4767	6388	7480	4204	4256	5027
7021	0	0	0	0	0	0
83741	0	0	0	0	0	0
9940	10	3	15	1	2	6
9265	3709	3456	5053	2766	2928	3381
53616	855	605	1154	1383	1442	1764
6856	13310	11152	16647	9630	10286	11604
1534	5793	7721	7949	5267	5529	6105
9043	10871	6959	14318	11827	11690	14577
1951	844	820	1266	1477	1482	1853
10157	870	297	1148	1242	1191	1564
55200	12	15	20	0	2	1
51188	1100	1775	1288	1369	1562	1596
84954	401	1188	845	472	546	559
4257	14339	17068	17533	10262	11121	12469
1407	2271	1686	2901	2856	2792	3184
8993	0	0	0	0	0	0
4784	3067	1961	4369	4138	4472	4904
6482	4474	3387	5603	3686	3955	4359
64386	6	12	11	16	15	11
9235	4866	8879	7052	884	895	950
5310	1216	1834	2830	4642	4509	4356
23542	16	38	25	97	93	107
9862	5123	6137	7967	5970	6520	7865
23221	743	898	1067	853	990	1032
54497	2546	1158	3032	3329	3231	4029
7095	9168	7693	11339	20364	20877	23861
6224	20532	42326	28025	28193	30351	30709
7812	50228	40354	64479	70656	72484	83767
9690	17484	12653	22314	10907	11471	13716
5980	2087	883	2547	2270	2284	2739
10178	0	0	0	2	3	5
5081	0	0	0	0	0	0
10747	7	11	4	0	0	2
389434	0	0	0	0	1	0
199870	644	696	923	717	733	891
80342	0	0	1	4	5	8
29954	3101	3440	4319	5316	4954	7047
51534	3865	3148	4564	5118	5324	5789
51085	73	142	163	66	57	117
9031	12480	8570	15859	11740	12317	14348
10048	7468	5970	9116	6701	6804	7738
51513	138	206	149	4	2	12
83932	1059	881	1438	1328	1565	1756
51603	3127	3697	4190	3929	4140	4893
8798	687	1124	956	782	775	874
7756	10671	8481	13790	9985	10320	13908
7384	11633	19548	15176	17418	18678	20122
83930	3737	3754	4539	5072	5298	5822
928	9575	11144	11934	7193	7392	7761
57467	0	0	1	1	0	0
9918	17048	14525	21652	18044	19676	23301
25900	30	74	53	394	414	455
2696	349	482	556	254	264	423
51533	860	899	1035	433	398	614
56920	67	49	73	148	159	133
11188	3332	3875	5566	5093	4580	7158
23166	1	1	4	4	6	7
80199	245	441	385	22	23	34
6540	1	3	2	7	9	13
3423	11343	7106	14112	17521	18739	21426
5646	261	513	378	1194	1290	1304
7752	431	496	668	674	728	800
920	0	0	0	3	2	6
10233	432	674	586	862	852	936
695	3	3	2	3	1	0
3077	3425	2790	4133	4288	4580	5148
