GeneID	control	control	control	perturbed	perturbed	perturbed
7105	2265	2560	2888	3256	3550	2664
64102	0	0	0	0	0	0
8813	3508	4239	4570	6669	7185	5432
57147	1039	895	1350	1395	1396	1112
55732	3366	3286	4253	3009	3043	2192
2268	1	0	1	0	1	0
3075	54	27	57	97	75	65
2519	8120	9611	10185	12109	13271	9598
2729	2775	2047	3365	2873	2662	1997
4800	7248	5224	8915	6537	6705	4824
90529	2162	2329	2814	2272	2356	1832
57185	6828	5358	8505	3293	3392	2407
81887	4799	6786	6647	4154	4379	3462
22875	568	280	629	1098	991	715
6405	399	674	707	925	1003	969
1080	0	0	0	4	2	3
54467	9348	4588	11953	10379	10625	7841
1595	3533	3519	4590	4840	5498	3805
889	2527	1603	3343	3482	3487	2685
5893	508	425	673	1096	1190	914
84176	125	187	230	5948	6376	4635
572	2119	6517	4017	3341	3371	4297
51056	4755	5157	5999	7025	7709	5580
4267	16968	26773	21381	12106	12286	10969
9957	667	780	895	203	183	168
26	0	0	0	0	0	0
51384	1	0	0	0	0	0
23072	125	107	180	566	496	459
8379	1524	3256	2593	2744	2959	2882
3927	59019	62188	77095	45514	49304	38224
29916	1742	2051	2009	2541	2530	1923
55365	0	0	0	0	0	0
4074	5207	4288	6404	19561	19149	14410
90293	15	3	2	296	312	276
56603	314	249	429	4107	4591	4030
3382	71	103	108	895	942	731
79007	984	1535	1412	252	236	223
57679	3298	2237	4258	4690	4699	3463
843	756	721	886	1160	1276	932
8837	7593	8340	9784	5890	6174	4820
7035	12387	10893	14715	15603	15108	11292
55471	1102	1135	1431	1821	1979	1531
10181	6463	6663	8967	9436	10251	7795
9108	7	5	5	20	20	11
6542	939	568	1149	1452	1447	1017
381	5148	10261	7640	6788	7053	6642
23098	194	185	282	273	313	222
26073	10512	13663	13279	9319	10094	7448
23129	4085	4759	6285	14841	15075	14138
204	14638	17623	17974	13437	14152	10729
952	15	12	22	83	87	61
2288	9048	12831	11519	10307	11460	8404
23028	9412	10875	11818	11518	12201	8927
10180	6607	6826	9189	8514	9431	6853
84254	655	904	1008	1913	2075	1814
5965	3690	2840	4801	8413	8990	6150
55610	2037	1597	2807	2400	2683	1728
126393	13	25	13	17	10	11
115703	575	765	1114	410	482	518
4706	1946	3650	2651	3207	3259	2805
5166	1618	1243	2202	393	296	297
85413	1	0	0	0	0	0
51364	95	238	155	56	53	57
340273	1	0	0	2	1	2
170302	2	1	0	0	0	0
10165	3767	3356	4658	5682	5855	4547
7982	1617	1867	1986	1960	1990	1477
93655	1617	1867	1986	1960	1990	1477
996	13431	9018	16882	20954	21849	15319
6521	0	2	0	0	0	1
799	216	145	274	49	45	42
3052	3162	3786	4056	8277	8857	6327
1856	4410	5475	6479	7317	7574	6676
64063	21	53	42	150	163	170
5976	5196	5932	8401	9225	9688	8961
8935	5310	3595	6680	6566	6653	4766
292	21429	32237	27694	20328	21412	16765
55013	3195	3926	3681	4136	4374	3310
3207	0	0	2	0	0	0
5439	2269	4457	3130	2436	2544	2585
56919	3160	2237	3825	4297	4451	3078
4222	1	2	3	1	2	0
221981	2	0	2	0	5	3
3980	3376	2905	4293	3578	3929	2801
79657	2339	2074	3083	4996	5301	3869
6296	45	44	56	43	56	25
81691	331	375	434	431	449	358
57019	2969	3911	3589	5775	5975	4694
56928	1242	2391	2546	1676	1936	2409
80256	2437	3054	3323	4127	4563	3714
51226	222	403	287	268	271	219
5577	130	65	123	1603	1692	1164
10943	1946	1934	2495	11018	12430	9023
1387	2901	1660	4078	7249	6676	5676
9256	1263	1595	2159	374	442	397
4353	0	0	0	4	0	0
5444	0	2	1	2	7	2
6936	1271	1247	1591	2083	2225	1521
84058	3160	5754	4294	5440	5498	4902
54677	746	655	932	795	849	581
5244	3	0	2	0	0	1
55904	6843	2420	8902	8532	8325	6314
57414	2105	4227	3518	3577	3707	3552
30812	0	0	0	0	0	0
25998	7447	4508	9926	11495	12375	9046
7748	1404	1304	1853	1911	1955	1428
23077	2767	1282	3473	8937	7506	6268
26224	2763	1763	3487	4501	4770	3255
3683	0	1	0	0	1	1
5164	2876	3915	3975	2700	2879	2457
3675	82087	103668	122957	128987	131917	118713
7543	2803	1684	3362	5414	5709	4023
3920	22874	16386	28115	25789	26322	19956
3674	49	79	86	40	36	46
51666	19	24	23	19	13	16
51573	5282	6658	6714	7564	7512	5713
55049	264	734	487	533	603	711
9244	3	7	3	80	72	102
114881	873	1218	1577	956	1358	1326
26022	2	8	7	0	4	1
51087	1	2	2	2	0	0
3883	0	0	0	1	1	0
9020	2113	2770	3431	2722	2861	2332
6833	0	0	0	0	0	0
10368	0	0	0	0	0	1
54972	6333	11482	10690	39674	41954	44464
163	42299	32380	51244	31203	30515	22471
6863	1	0	4	0	0	0
10127	1563	1986	1987	2272	2400	1937
6376	1914	2619	2753	29	34	30
64847	3667	5878	6057	8467	9472	8945
8913	2	6	11	10	29	21
51330	4382	7514	6190	7901	8766	7865
1750	0	0	0	1	0	0
4293	1833	1216	2374	3387	3554	2667
5898	7421	7838	9022	10778	10997	8411
55971	4813	5987	7047	3091	3448	2878
80853	1376	629	1658	3580	3865	2655
2115	2356	1337	3216	7413	7453	5354
55750	3498	2813	4281	2589	2713	2036
221	2966	4782	4581	2043	2043	2013
55001	76	73	101	18	31	20
57157	3650	2096	4487	5127	5573	3816
10344	43	71	42	12	11	7
9855	2563	1713	3427	3138	3616	2688
10083	0	0	0	0	0	1
79017	2594	3708	3146	2120	2198	1715
10926	2916	2849	3953	2896	3140	2126
6915	183	323	314	219	248	260
3475	4599	4704	6256	4376	4806	3722
56891	0	0	0	0	0	0
1352	1339	1256	1633	1762	1941	1460
9569	2891	4118	4416	2984	3064	2715
54623	4647	7334	6152	5082	5530	4459
27072	3765	2930	4878	5798	5787	4302
9912	8	10	6	16	19	7
60528	6615	8524	9314	8178	9077	6745
85477	1	3	3	3	4	1
414	804	978	1053	607	517	486
8228	1321	1770	1666	1429	1531	1194
8735	1	0	0	0	2	0
79602	5370	4638	6539	12479	12595	9132
51265	201	293	318	311	282	227
151531	0	0	1	0	1	3
10942	0	0	0	0	0	0
57787	1624	2193	2409	2446	2195	2205
8842	0	2	1	5	9	1
115098	1752	5473	3661	1879	2106	2689
90273	1	0	0	0	0	0
5048	12635	11951	16299	17014	18008	12790
4843	9	12	9	4	1	8
1770	0	0	0	2	0	1
9703	25061	21143	32044	29757	30406	21780
9058	0	0	0	0	0	0
8522	14	15	27	1	0	0
79090	124	327	222	115	105	152
4145	0	1	1	32	40	58
1087	0	0	0	0	0	0
974	0	0	0	11	0	6
6329	5	2	3	4	8	1
54879	987	1176	1287	1911	1927	1445
8277	1	0	0	0	1	2
5080	0	0	0	0	0	1
113000	446	1373	978	1201	1235	1458
64285	1477	2436	2594	5613	6154	6201
55692	1283	2358	1925	2875	3188	2596
9254	4	5	0	0	0	1
8938	312	609	642	1018	974	1203
115939	1006	2698	1789	1924	2075	2427
9091	1043	2501	2207	2505	2679	3279
57585	1645	1298	2373	4477	4631	3903
7005	5130	6695	7147	5211	5680	4942
6401	0	0	0	0	0	0
55735	4535	4896	6082	5798	6396	5137
2328	0	2	2	3	2	1
29116	1241	997	1435	1430	1433	1212
27035	0	0	0	0	1	0
1870	1091	1189	1445	146	155	107
5689	18201	30084	22536	23474	24151	18971
6853	2	3	0	518	533	425
3720	5331	4059	7169	10389	11105	8760
6792	79	33	101	2582	2382	1891
57172	1	1	0	2	1	0
728642	1539	2333	2437	2164	2636	2485
65220	4767	6388	7480	5465	5692	5503
7021	0	0	0	0	0	0
83741	0	0	0	0	0	0
9940	10	3	15	11	12	3
9265	3709	3456	5053	3681	3921	3100
53616	855	605	1154	1454	1388	1102
6856	13310	11152	16647	13166	13502	9775
1534	5793	7721	7949	4828	5036	4538
9043	10871	6959	14318	16175	16819	12253
1951	844	820	1266	1037	1103	1020
10157	870	297	1148	1769	1987	1304
55200	12	15	20	1	4	0
51188	1100	1775	1288	1580	1523	1280
84954	401	1188	845	626	582	580
4257	14339	17068	17533	12189	12834	9437
1407	2271	1686	2901	3177	3444	2530
8993	0	0	0	0	0	0
4784	3067	1961	4369	5011	5418	4281
6482	4474	3387	5603	8873	9390	6879
64386	6	12	11	15	10	9
9235	4866	8879	7052	1654	1684	1615
5310	1216	1834	2830	3826	3936	5070
23542	16	38	25	49	65	51
9862	5123	6137	7967	7355	8280	6817
23221	743	898	1067	1458	1515	1164
54497	2546	1158	3032	4622	4581	3572
7095	9168	7693	11339	18835	19926	13980
6224	20532	42326	28025	30742	32010	27365
7812	50228	40354	64479	98213	101538	71919
9690	17484	12653	22314	14592	15195	11269
5980	2087	883	2547	3241	3127	2359
10178	0	0	0	72	89	52
5081	0	0	0	1	0	0
10747	7	11	4	0	3	0
389434	0	0	0	0	0	0
199870	644	696	923	886	933	679
80342	0	0	1	1	5	3
29954	3101	3440	4319	6101	6827	5392
51534	3865	3148	4564	5522	5685	4036
51085	73	142	163	16	18	29
9031	12480	8570	15859	15771	16628	11640
10048	7468	5970	9116	7454	7389	5315
51513	138	206	149	20	13	14
83932	1059	881	1438	1965	1980	1527
51603	3127	3697	4190	5758	5925	4499
8798	687	1124	956	805	868	698
7756	10671	8481	13790	14612	16091	11735
7384	11633	19548	15176	20101	20717	16875
83930	3737	3754	4539	5506	6041	4505
928	9575	11144	11934	8921	9468	7641
57467	0	0	1	0	0	0
9918	17048	14525	21652	23896	25436	17881
25900	30	74	53	461	547	499
2696	349	482	556	188	226	204
51533	860	899	1035	411	532	343
56920	67	49	73	41	62	51
11188	3332	3875	5566	4665	5219	5028
23166	1	1	4	3	5	2
80199	245	441	385	38	40	38
6540	1	3	2	4	1	2
3423	11343	7106	14112	17778	18211	13663
5646	261	513	378	1995	2192	1766
7752	431	496	668	988	1159	818
920	0	0	0	1	2	4
10233	432	674	586	593	693	520
695	3	3	2	0	3	1
3077	3425	2790	4133	4187	4288	3401
22955	5002	4841	6641	3880	3817	3065
2534	3799	4206	4868	4839	4923	3880
3097	4129	1743	5136	9064	8668	6636
2326	0	0	0	0	1	3
6924	5641	5237	7438	9116	9558	6673
11313	4301	8074	6810	7039	7424	7034
1185	1486	1186	2178	2987	3260	2631
9902	2654	4063	4827	21658	21685	22672
654364	31403	57042	40685	35493	36719	31797
6534	11	15	20	10	17	22
10867	2202	2774	3257	3042	3192	2864
55727	2584	1363	3406	5929	6012	4327
9546	675	1294	1316	927	984	1133
54903	654	910	1000	1706	1845	1509
51099	2574	1858	3004	2135	2093	1613
3730	2591	1607	3372	1756	1794	1378
26993	2581	3936	3691	3045	3433	2833
54799	1596	811	1970	3125	3232	2338
51096	4657	6252	5964	6902	7414	5356
54476	4230	4528	6358	5269	5633	4381
54902	3733	4243	4754	4462	4325	3287
5725	15918	19312	24529	20229	22401	20254
8193	91	170	145	140	145	149
9066	25	25	23	50	53	26
23395	2957	2849	4121	4001	4139	3134
5286	4911	1683	6257	6669	6681	4814
5329	5322	7903	7357	19898	23027	19153
54443	50515	25270	65318	22491	24436	16773
58525	1745	2921	3314	3135	3452	3546
23637	6043	4022	7684	9365	9785	7436
1634	0	0	2	18	12	11
54814	1560	2767	2307	1498	1460	1371
5536	4603	6366	6850	5775	6130	5481
23177	1321	1293	1754	1448	1538	1199
8491	2705	1375	3395	4414	4751	3371
27033	0	0	0	3	3	2
7305	0	0	0	2	0	0
57146	2330	2957	2956	3331	3186	2494
2556	0	0	0	24	22	14
672	3238	2381	4387	5038	5309	3719
2067	3755	6055	5573	8657	9271	7750
933	769	769	982	560	523	406
7869	3194	5417	5499	32	43	55
51360	4492	2681	5900	9491	9986	7169
4007	692	1072	1160	1144	1195	1177
4057	27	36	33	1	9	2
2137	3457	3365	4880	7231	7743	5830
9971	0	0	0	2	0	2
60481	17074	14406	22240	17519	18387	13244
240	811	911	1185	24	7	20
8284	0	0	0	0	0	0
57658	3759	3399	5137	7265	8022	6528
55148	4394	3866	5640	4999	5470	3807
11183	5837	3636	7849	10648	11623	8297
30845	518	436	690	337	353	318
5704	7198	11117	9671	10099	10692	8315
23324	3757	4283	5850	10682	10893	10110
57709	0	0	0	2	0	0
5010	404	385	450	23	14	19
51629	10572	20765	17495	12825	13767	12835
9961	6708	12937	11306	12683	13280	11898
51667	7457	8572	10413	5238	5730	4289
5238	8423	6871	10767	12714	13272	9639
112611	773	903	1032	1414	1483	1149
1195	5281	5019	6395	10611	10976	9069
55703	962	865	1265	1778	1999	1360
23357	653	471	812	1026	1010	858
9604	5001	4569	6503	6996	7433	5575
1774	2137	3000	3135	2308	2418	2196
1663	2842	3592	4484	3578	4596	3844
