GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	1	1	1	2	2	2
653635	199	185	180	201	197	184
102466751	1	0	0	4	1	0
107985730	0	0	0	0	1	0
100302278	0	0	0	0	0	0
645520	0	1	0	0	0	0
79501	0	0	0	0	0	0
100996442	20	19	12	24	21	15
729737	80	79	82	116	133	111
102725121	1	1	2	3	3	3
102723897	212	178	188	235	221	180
102465909	1	0	0	2	0	1
107985721	1	0	0	1	2	1
112268260	17	14	7	10	6	6
729759	0	0	0	0	0	0
100132287	41	35	35	53	60	57
105378947	1	3	1	2	0	2
101928626	0	0	0	0	0	0
113219467	1191	1253	1085	1109	1099	1058
81399	1	1	1	0	1	0
100133331	45	43	42	61	71	62
107984841	7	6	8	14	10	11
107984847	10	9	6	18	8	6
107984849	3	1	2	3	2	3
100288069	9	11	10	14	14	15
105378580	13	8	9	16	7	6
400728	15	5	3	17	11	13
79854	3	6	4	1	7	1
643837	300	298	248	307	269	252
107984850	0	0	0	0	0	0
284593	2	0	0	1	2	2
284600	0	0	0	0	0	0
100130417	2	2	1	1	0	0
107985728	2	0	0	1	2	0
148398	116	107	115	188	138	169
26155	2275	2121	2229	3919	2997	3060
339451	74	89	76	119	94	80
84069	409	453	386	514	373	445
84808	56	68	56	65	45	48
57801	125	88	138	181	197	204
9636	399	335	358	5767	4816	4894
375790	11540	8925	10871	21715	19268	20022
100288175	1	2	4	2	2	5
112267874	8	9	5	11	15	12
105378948	1	6	3	3	4	8
401934	83	56	63	75	75	75
54991	205	194	177	332	275	300
254099	0	0	0	0	0	0
406984	0	2	1	0	0	1
406983	3	0	0	0	0	1
554210	0	0	0	0	0	2
100506376	0	0	0	0	0	0
254173	1	1	3	0	2	1
8784	3	0	4	24	27	44
7293	0	0	0	0	0	0
51150	2827	2476	2638	3976	3470	3418
126792	300	285	296	466	427	426
388581	8	1	5	7	11	8
118424	1020	804	966	1365	1215	1135
101928895	0	1	1	3	1	2
6339	8	6	9	13	12	13
116983	1424	1129	1268	1718	1622	1594
102465434	0	0	0	0	0	0
109623456	3	2	1	4	1	1
126789	337	290	340	512	463	437
54973	1465	1260	1306	2132	1658	1703
102465435	0	1	8	5	0	0
80772	1871	1510	1621	1830	1534	1601
83756	8	3	10	22	21	17
1855	2192	1723	1953	2996	2459	2593
102466740	0	1	0	0	0	0
54587	89	79	70	82	75	82
54998	1426	1114	1531	2340	1780	1830
81669	530	448	512	666	615	551
148413	397	342	368	495	452	434
55052	903	812	764	1321	1080	1089
107984868	5	0	1	3	2	3
441869	89	78	95	141	124	123
105378585	2	0	6	10	9	6
643965	0	0	0	0	1	1
102724312	0	0	0	0	0	0
107985729	1	0	0	1	0	0
64856	719	547	683	1046	1054	935
219293	57	42	41	85	81	79
83858	339	310	363	679	473	490
55210	476	407	536	973	756	734
339453	0	0	0	3	6	6
29101	1980	1744	1959	2659	2352	2288
643988	300	275	278	535	422	453
105378586	10	11	8	12	10	20
142678	1134	843	1133	1329	1261	1354
8510	8	5	9	12	10	9
984	779	740	785	1016	949	909
728661	659	622	603	930	814	829
8511	2	0	1	1	1	0
728642	588	527	585	800	679	641
9906	666	650	621	936	767	857
112268218	45	47	42	73	65	58
65220	956	839	908	1552	1213	1206
2782	9354	8978	8765	13230	11642	11200
105378949	2	1	4	5	3	1
163688	0	0	0	1	0	0
339456	7	0	11	18	13	16
85452	0	0	0	2	0	0
107984872	0	1	0	0	0	0
105378589	0	0	0	0	0	0
2563	0	1	0	0	0	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	941	953	870	1193	1008	952
100506504	6	4	11	7	4	4
199990	577	476	535	805	700	751
112268219	55	41	44	66	56	65
105378593	0	1	0	1	0	0
6497	1328	1308	1342	1911	1740	1694
79906	39	37	33	52	57	59
100129534	8	8	16	12	14	16
11079	3024	2812	2751	4014	3338	3256
5192	489	452	422	669	568	649
9651	2531	2163	2344	2799	2492	2584
55229	740	625	657	944	820	850
388585	0	0	0	0	0	0
115110	3	6	7	17	15	18
8764	69	39	66	160	168	166
100996583	0	0	0	0	0	0
127281	566	499	571	1163	849	862
79258	61	42	59	102	84	82
105378597	0	0	0	0	0	0
100287898	0	0	0	2	0	0
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	1
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	0	0	2	0	0	1
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	0
27237	439	440	433	960	851	813
1953	54	60	77	96	134	118
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	2390	2235	2126	2489	2089	2100
49856	434	367	417	657	564	532
7161	200	199	189	409	375	384
105378610	0	0	0	0	0	0
105378609	0	0	0	0	0	0
57212	114	117	101	253	146	172
148870	1	0	1	0	0	0
388588	3	6	5	4	4	4
57470	1375	1194	1337	2028	1636	1669
9731	763	720	752	936	875	871
1677	65	55	48	126	100	90
107984910	0	0	2	0	1	2
339448	379	357	363	665	546	538
100133612	5	0	1	2	0	6
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	630	593	644	761	585	611
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	0	0	0	0
261734	385	334	275	529	448	448
8514	50	53	47	88	98	82
26038	0	0	1	0	0	0
105376687	0	0	0	0	0	0
6146	14279	15577	13343	14970	14520	13659
107985733	59	71	52	68	60	57
102724450	1	0	0	0	0	0
388591	13	13	16	26	20	17
23463	3683	3405	3533	5363	4021	4078
148645	1	1	3	2	6	1
390992	0	0	0	0	0	0
387509	551	430	537	1116	844	895
11332	1948	1771	2106	2901	2247	2210
54626	5805	5142	5384	6030	5419	5193
83715	342	201	281	696	691	731
100422975	0	0	0	0	0	0
