GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	0	1	1	2	2	2
653635	83	92	107	201	197	184
102466751	0	0	0	4	1	0
107985730	0	0	0	0	1	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	9	8	6	24	21	15
729737	29	27	44	116	133	111
102725121	0	0	0	3	3	3
102723897	97	94	103	235	221	180
102465909	0	0	0	2	0	1
107985721	0	0	1	1	2	1
112268260	4	5	3	10	6	6
729759	0	0	0	0	0	0
100132287	18	19	20	53	60	57
105378947	2	0	1	2	0	2
101928626	0	0	0	0	0	0
113219467	438	496	479	1109	1099	1058
81399	1	0	0	0	1	0
100133331	25	19	20	61	71	62
107984841	3	3	3	14	10	11
107984847	3	3	4	18	8	6
107984849	1	0	0	3	2	3
100288069	8	6	4	14	14	15
105378580	5	5	4	16	7	6
400728	10	5	1	17	11	13
79854	0	3	1	1	7	1
643837	133	158	128	307	269	252
107984850	0	0	0	0	0	0
284593	0	0	0	1	2	2
284600	0	0	0	0	0	0
100130417	0	0	1	1	0	0
107985728	1	0	0	1	2	0
148398	65	57	52	188	138	169
26155	1216	1160	1063	3919	2997	3060
339451	30	42	42	119	94	80
84069	218	194	201	514	373	445
84808	26	24	26	65	45	48
57801	110	84	90	181	197	204
9636	903	775	745	5767	4816	4894
375790	6820	6451	6242	21715	19268	20022
100288175	1	1	0	2	2	5
112267874	8	7	6	11	15	12
105378948	1	1	3	3	4	8
401934	43	52	47	75	75	75
54991	99	99	101	332	275	300
254099	0	0	0	0	0	0
406984	0	0	0	0	0	1
406983	1	0	1	0	0	1
554210	0	0	0	0	0	2
100506376	0	0	0	0	0	0
254173	0	0	0	0	2	1
8784	8	4	4	24	27	44
7293	0	0	0	0	0	0
51150	1376	1369	1312	3976	3470	3418
126792	172	127	130	466	427	426
388581	2	3	3	7	11	8
118424	464	406	373	1365	1215	1135
101928895	1	0	3	3	1	2
6339	2	2	1	13	12	13
116983	538	563	552	1718	1622	1594
102465434	0	0	0	0	0	0
109623456	1	1	0	4	1	1
126789	167	129	144	512	463	437
54973	657	631	609	2132	1658	1703
102465435	0	0	0	5	0	0
80772	746	681	730	1830	1534	1601
83756	2	2	6	22	21	17
1855	1028	882	908	2996	2459	2593
102466740	1	0	0	0	0	0
54587	41	35	37	82	75	82
54998	669	717	667	2340	1780	1830
81669	299	253	237	666	615	551
148413	166	191	174	495	452	434
55052	389	483	434	1321	1080	1089
107984868	0	2	1	3	2	3
441869	49	48	36	141	124	123
105378585	4	0	2	10	9	6
643965	0	0	0	0	1	1
102724312	0	0	0	0	0	0
107985729	0	0	0	1	0	0
64856	277	293	331	1046	1054	935
219293	22	21	17	85	81	79
83858	209	153	147	679	473	490
55210	284	237	241	973	756	734
339453	2	0	2	3	6	6
29101	1037	974	820	2659	2352	2288
643988	146	173	170	535	422	453
105378586	5	3	5	12	10	20
142678	527	464	513	1329	1261	1354
8510	4	4	6	12	10	9
984	441	330	318	1016	949	909
728661	314	302	246	930	814	829
8511	0	0	1	1	1	0
728642	324	241	241	800	679	641
9906	298	286	275	936	767	857
112268218	22	24	23	73	65	58
65220	545	442	411	1552	1213	1206
2782	4365	4321	3605	13230	11642	11200
105378949	3	1	1	5	3	1
163688	0	0	0	1	0	0
339456	4	4	0	18	13	16
85452	0	0	3	2	0	0
107984872	0	0	0	0	0	0
105378589	0	0	0	0	0	0
2563	1	0	0	0	0	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	458	480	429	1193	1008	952
100506504	3	4	4	7	4	4
199990	313	243	268	805	700	751
112268219	24	29	30	66	56	65
105378593	0	1	0	1	0	0
6497	640	565	555	1911	1740	1694
79906	20	15	17	52	57	59
100129534	5	6	3	12	14	16
11079	1411	1398	1318	4014	3338	3256
5192	250	245	226	669	568	649
9651	1255	1127	1206	2799	2492	2584
55229	365	323	279	944	820	850
388585	0	0	0	0	0	0
115110	4	3	2	17	15	18
8764	32	36	39	160	168	166
100996583	0	0	0	0	0	0
127281	319	294	257	1163	849	862
79258	36	28	25	102	84	82
105378597	0	0	0	0	0	0
100287898	2	0	0	2	0	0
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	1
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	0	0	0	0	0	1
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	0
27237	226	248	240	960	851	813
1953	54	44	64	96	134	118
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	1005	1019	901	2489	2089	2100
49856	194	227	187	657	564	532
7161	79	84	86	409	375	384
105378610	0	0	0	0	0	0
105378609	0	0	0	0	0	0
57212	56	67	48	253	146	172
148870	0	0	0	0	0	0
388588	0	1	4	4	4	4
57470	712	653	595	2028	1636	1669
9731	383	323	287	936	875	871
1677	20	22	27	126	100	90
107984910	0	0	4	0	1	2
339448	155	178	142	665	546	538
100133612	2	1	2	2	0	6
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	1	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	225	182	146	761	585	611
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	1	0	0	0
261734	154	183	163	529	448	448
8514	17	29	27	88	98	82
26038	0	0	0	0	0	0
105376687	0	0	0	0	0	0
6146	6391	6293	6315	14970	14520	13659
107985733	26	27	25	68	60	57
102724450	1	0	0	0	0	0
388591	6	8	5	26	20	17
23463	1717	1548	1352	5363	4021	4078
148645	2	2	1	2	6	1
390992	0	0	0	0	0	0
387509	280	251	216	1116	844	895
11332	923	873	781	2901	2247	2210
54626	3073	2951	2700	6030	5419	5193
83715	168	126	156	696	691	731
100422975	0	0	0	0	0	0
8718	137	135	127	342	263	288
57449	821	761	795	2170	1912	1955
79707	127	139	111	480	381	409
80835	0	0	0	0	0	0
107984912	0	0	0	0	0	0
3104	77	71	75	222	222	171
9903	700	645	635	2035	1804	1753
107984913	0	1	0	7	1	3
148479	386	346	307	1071	950	871
90326	263	233	246	920	683	678
55735	769	639	583	2242	1862	1760
100505887	0	0	0	0	0	0
110841581	1	0	0	5	3	4
23261	259	242	197	730	580	650
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	0	0	0
