GeneID	perturbed	perturbed	perturbed	control	control	control
100287102	0	0	1	2	2	2
653635	102	119	154	201	197	184
102466751	1	1	1	4	1	0
107985730	0	0	0	0	1	0
100302278	0	0	0	0	0	0
645520	1	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	8	12	14	24	21	15
729737	77	99	127	116	133	111
102725121	0	0	1	3	3	3
102723897	113	122	175	235	221	180
102465909	1	1	1	2	0	1
107985721	0	1	0	1	2	1
112268260	1	2	2	10	6	6
729759	0	0	0	0	0	0
100132287	37	36	58	53	60	57
105378947	1	0	0	2	0	2
101928626	0	0	0	0	0	0
113219467	504	492	866	1109	1099	1058
81399	0	0	1	0	1	0
100133331	39	53	62	61	71	62
107984841	6	7	6	14	10	11
107984847	4	8	6	18	8	6
107984849	1	1	1	3	2	3
100288069	8	8	19	14	14	15
105378580	7	3	12	16	7	6
400728	6	2	9	17	11	13
79854	4	3	3	1	7	1
643837	185	232	335	307	269	252
107984850	0	0	0	0	0	0
284593	0	0	1	1	2	2
284600	0	0	0	0	0	0
100130417	0	0	0	1	0	0
107985728	0	1	0	1	2	0
148398	79	92	133	188	138	169
26155	1701	1806	2331	3919	2997	3060
339451	65	88	97	119	94	80
84069	179	242	311	514	373	445
84808	25	25	34	65	45	48
57801	134	141	172	181	197	204
9636	593	576	911	5767	4816	4894
375790	11084	14328	19119	21715	19268	20022
100288175	1	0	4	2	2	5
112267874	2	5	8	11	15	12
105378948	1	1	2	3	4	8
401934	33	32	61	75	75	75
54991	172	182	264	332	275	300
254099	0	0	0	0	0	0
406984	2	0	2	0	0	1
406983	1	0	0	0	0	1
554210	2	2	2	0	0	2
100506376	0	0	0	0	0	0
254173	0	0	1	0	2	1
8784	19	14	43	24	27	44
7293	0	0	0	0	0	0
51150	1670	1910	2569	3976	3470	3418
126792	265	273	374	466	427	426
388581	5	5	10	7	11	8
118424	678	754	1035	1365	1215	1135
101928895	2	1	4	3	1	2
6339	5	3	9	13	12	13
116983	764	995	1506	1718	1622	1594
102465434	1	0	0	0	0	0
109623456	1	4	3	4	1	1
126789	230	287	343	512	463	437
54973	938	988	1392	2132	1658	1703
102465435	2	0	2	5	0	0
80772	665	776	1077	1830	1534	1601
83756	6	9	15	22	21	17
1855	1312	1467	1937	2996	2459	2593
102466740	1	0	0	0	0	0
54587	48	59	83	82	75	82
54998	1016	1060	1384	2340	1780	1830
81669	318	377	577	666	615	551
148413	203	244	345	495	452	434
55052	614	557	858	1321	1080	1089
107984868	2	1	0	3	2	3
441869	67	90	135	141	124	123
105378585	3	5	6	10	9	6
643965	1	0	0	0	1	1
102724312	0	0	0	0	0	0
107985729	0	0	0	1	0	0
64856	700	939	1311	1046	1054	935
219293	54	52	76	85	81	79
83858	389	349	456	679	473	490
55210	508	472	633	973	756	734
339453	1	2	3	3	6	6
29101	1089	1234	1776	2659	2352	2288
643988	164	225	287	535	422	453
105378586	5	5	4	12	10	20
142678	665	889	1079	1329	1261	1354
8510	5	8	11	12	10	9
984	531	555	872	1016	949	909
728661	368	503	733	930	814	829
8511	1	1	2	1	1	0
728642	363	391	636	800	679	641
9906	382	487	784	936	767	857
112268218	27	31	51	73	65	58
65220	602	642	911	1552	1213	1206
2782	6958	7534	12091	13230	11642	11200
105378949	2	2	1	5	3	1
163688	0	0	0	1	0	0
339456	3	1	4	18	13	16
85452	1	0	2	2	0	0
107984872	0	0	0	0	0	0
105378589	0	0	0	0	0	0
2563	1	0	1	0	0	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	457	620	809	1193	1008	952
100506504	3	3	11	7	4	4
199990	340	407	489	805	700	751
112268219	31	25	40	66	56	65
105378593	0	0	1	1	0	0
6497	1050	1082	1706	1911	1740	1694
79906	8	18	34	52	57	59
100129534	7	1	7	12	14	16
11079	1629	1760	2755	4014	3338	3256
5192	315	379	538	669	568	649
9651	1193	1565	2133	2799	2492	2584
55229	380	439	611	944	820	850
388585	0	0	0	0	0	0
115110	8	14	14	17	15	18
8764	84	114	160	160	168	166
100996583	0	0	0	0	0	0
127281	408	436	628	1163	849	862
79258	39	46	66	102	84	82
105378597	0	0	0	0	0	0
100287898	0	0	0	2	0	0
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	1
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	1	0	0	0	0	1
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	0	0	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	0
27237	570	692	919	960	851	813
1953	107	210	272	96	134	118
105378608	0	0	0	0	0	0
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	896	1035	1606	2489	2089	2100
49856	255	288	414	657	564	532
7161	197	271	375	409	375	384
105378610	0	0	0	0	0	0
105378609	0	0	0	0	0	0
57212	105	107	169	253	146	172
148870	0	0	0	0	0	0
388588	2	3	7	4	4	4
57470	942	968	1525	2028	1636	1669
9731	482	546	798	936	875	871
1677	75	64	104	126	100	90
107984910	1	0	3	0	1	2
339448	365	345	539	665	546	538
100133612	0	0	0	2	0	6
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	407	359	639	761	585	611
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	0	0	0	0
261734	240	300	426	529	448	448
8514	38	60	94	88	98	82
26038	0	0	0	0	0	0
105376687	0	0	0	0	0	0
6146	7678	7871	14429	14970	14520	13659
107985733	28	34	63	68	60	57
102724450	0	0	3	0	0	0
388591	15	21	31	26	20	17
23463	2433	2426	3702	5363	4021	4078
148645	3	1	2	2	6	1
390992	0	0	0	0	0	0
387509	396	458	661	1116	844	895
11332	1242	1320	1791	2901	2247	2210
54626	2226	2638	3730	6030	5419	5193
83715	626	774	1061	696	691	731
100422975	0	0	0	0	0	0
8718	182	214	325	342	263	288
57449	981	1288	1722	2170	1912	1955
79707	203	202	339	480	381	409
80835	1	1	0	0	0	0
107984912	0	0	0	0	0	0
3104	128	100	145	222	222	171
9903	825	1051	1457	2035	1804	1753
107984913	4	1	1	7	1	3
148479	557	609	1076	1071	950	871
90326	390	404	532	920	683	678
55735	939	1003	1350	2242	1862	1760
100505887	0	0	0	0	0	0
110841581	1	4	1	5	3	4
23261	373	429	682	730	580	650
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	0	0	0
105376689	0	0	0	0	0	0
9341	2477	2521	4454	5250	4674	4394
8863	396	466	827	1112	1114	1123
10911	1	0	1	0	0	0
3604	0	0	1	0	1	0
11315	3170	2997	4917	6638	5398	5123
54206	2345	2908	4937	2961	2671	2665
107984915	0	0	0	0	0	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	8	7	5	13	8	7
473	767	845	1375	1562	1406	1448
102724552	0	0	0	0	1	0
106632271	0	0	0	0	0	0
2023	48133	54214	82229	96441	83939	80735
102465436	0	0	1	1	3	2
100505975	4	5	8	4	3	3
112268261	5	2	4	12	6	10
765	0	0	0	0	0	0
155184	0	0	0	0	0	0
6518	103	189	321	414	368	392
80045	278	353	544	878	834	823
106614088	19	31	46	42	43	43
407040	0	1	0	1	0	1
102724571	36	36	61	60	46	72
9563	736	1036	1607	1471	1361	1366
80176	391	676	843	1964	2089	2008
100506022	6	7	6	16	15	6
84275	101	84	147	187	165	162
199953	177	216	287	407	355	338
107985734	2	5	7	5	4	10
105376712	0	0	0	0	0	0
5293	307	385	527	545	488	483
644997	0	0	0	0	0	0
101929074	2	3	2	3	6	3
22883	7678	8975	13921	16511	15086	14778
56998	2060	2620	4299	4832	4341	4226
105376717	55	69	106	138	125	121
84328	742	684	1345	1780	1445	1334
64802	264	281	444	547	463	439
113391335	0	0	0	0	1	0
100847055	0	0	0	0	0	0
116362	14	20	20	17	24	24
10277	1207	1394	2180	2650	2471	2388
23095	1659	1653	2946	3661	3129	3064
105376725	0	0	0	1	0	0
5226	4026	4250	6287	6861	5589	5434
100526739	75	102	137	176	162	162
378708	98	127	173	234	222	211
1325	6	7	14	7	5	8
1676	889	993	1444	1936	1600	1615
5195	291	332	527	682	624	564
54897	600	723	1046	1522	1302	1319
105376733	0	0	0	0	0	0
105376735	2	1	6	3	6	7
148345	0	0	0	0	0	0
23435	2322	2354	3844	4697	3966	3631
10747	8	2	8	11	8	2
6723	1060	1115	1437	2536	2113	2116
5394	1308	1322	2019	2492	2162	2166
105376736	23	29	31	41	39	34
2475	1434	1487	2302	3599	2810	2738
100873935	13	10	18	34	20	19
10218	0	0	0	0	0	0
29914	269	268	442	490	442	424
105376737	19	35	38	66	40	37
105376739	0	0	0	1	0	2
105376740	0	0	0	1	0	0
57540	40	39	46	3	6	8
112268221	3	0	3	0	0	1
101929181	0	1	0	0	1	1
26232	934	1115	1555	1558	1519	1503
93611	283	354	428	690	587	582
26270	180	179	265	549	430	430
10459	449	527	677	864	713	694
374946	0	0	0	2	2	0
