GeneID	control	control	control	perturbed	perturbed	perturbed
100287102	1	2	1	1	0	1
653635	716	728	707	620	641	532
102466751	36	49	41	20	24	19
107985730	2	1	1	0	1	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	159	125	120	96	105	96
729737	1422	1252	1325	650	580	490
102725121	0	3	1	1	2	5
102723897	600	577	546	497	491	415
102465909	12	16	14	8	14	9
107985721	3	2	0	2	1	0
112268260	55	50	50	47	49	36
729759	0	0	0	0	0	0
100132287	341	283	295	211	174	167
105378947	4	2	3	5	3	3
101928626	1	0	0	0	0	0
113219467	799	331	546	864	833	740
81399	7	3	2	4	3	2
100133331	329	275	333	250	217	189
107984841	209	241	201	120	98	92
107984847	268	272	220	148	140	127
107984849	116	118	85	51	51	52
100288069	202	145	129	124	93	101
105378580	59	34	36	32	26	25
400728	24	16	23	17	11	17
79854	30	22	18	25	18	19
643837	258	232	239	375	324	325
107984850	0	1	0	2	0	1
284593	3	0	2	2	2	0
284600	153	127	159	138	110	126
100130417	104	90	94	92	77	61
107985728	177	198	163	147	128	116
148398	334	368	380	717	647	602
26155	2057	2212	2068	4456	4211	3883
339451	455	485	509	520	539	452
84069	293	288	316	385	359	297
84808	23	18	22	31	19	23
57801	66	104	102	461	297	256
9636	1409	1640	1407	2677	2400	2187
375790	14451	16313	14747	10879	10147	8972
100288175	109	95	91	138	127	110
112267874	38	27	20	31	27	25
105378948	95	70	82	76	88	75
401934	12	9	13	30	26	31
54991	217	195	225	342	299	281
254099	0	0	0	0	0	0
406984	0	0	0	1	0	0
406983	0	0	0	0	0	0
554210	1	0	1	0	0	0
100506376	0	0	0	0	0	0
254173	3	3	3	2	3	1
8784	164	195	221	136	127	107
7293	11	5	6	3	6	4
51150	5097	5393	5174	4885	4531	4112
126792	355	395	387	633	563	517
388581	36	16	28	20	23	14
118424	542	455	446	978	835	750
101928895	139	146	140	57	56	43
6339	309	306	322	163	144	128
116983	1596	1676	1687	1350	1389	1282
102465434	0	0	0	1	1	1
109623456	7	5	2	1	3	5
126789	211	248	221	461	422	397
54973	2103	2576	2259	2185	2175	1938
102465435	7	7	7	7	8	7
80772	429	365	396	450	429	406
83756	140	179	133	40	35	25
1855	2232	2764	2539	3023	2804	2637
102466740	13	13	11	11	10	9
54587	469	394	456	264	246	235
54998	884	716	859	1782	1630	1471
81669	3199	2196	2565	2592	2555	2300
148413	361	431	383	435	455	395
55052	960	892	860	1755	1553	1376
107984868	1	4	1	2	3	1
441869	47	34	38	21	22	16
105378585	8	8	3	6	4	1
643965	1	2	2	1	1	2
102724312	53	35	44	36	38	30
107985729	65	50	55	41	30	33
64856	1785	2246	1936	2359	2036	1829
219293	49	45	49	68	76	59
83858	558	568	559	1316	1191	1099
55210	560	666	566	1811	1737	1518
339453	1	3	2	7	2	3
29101	1217	908	917	2296	1980	1675
643988	130	151	172	144	133	115
105378586	9	16	16	11	9	12
142678	1798	2299	2162	1265	1200	1064
8510	37	38	45	30	36	31
984	1006	953	944	1422	1445	1268
728661	1968	1514	1607	1006	928	855
8511	33	33	37	21	26	22
728642	776	669	645	951	896	799
9906	1449	1070	1142	667	636	551
112268218	87	79	72	65	72	49
65220	1659	1607	1511	1573	1341	1270
2782	6494	6972	5930	8161	8028	7109
105378949	3	4	6	4	5	3
163688	15	10	15	7	16	5
339456	9	9	7	29	26	29
85452	7	14	11	9	8	9
107984872	0	1	0	2	4	2
105378589	0	4	2	1	2	2
2563	38	38	39	89	74	61
105378590	0	0	0	0	0	0
105378591	2	1	0	1	1	0
5590	478	569	502	492	436	401
100506504	42	32	41	40	29	33
199990	454	359	373	561	523	479
112268219	136	114	123	77	67	69
105378593	27	19	26	12	14	10
6497	1661	1326	1343	1740	1494	1367
79906	218	214	183	214	206	216
100129534	88	113	64	72	72	89
11079	1654	1559	1485	2157	2152	1920
5192	615	643	598	641	591	508
9651	53	61	57	58	41	33
55229	493	491	463	587	589	503
388585	0	0	0	0	0	0
115110	111	98	101	35	20	28
8764	444	458	466	137	139	125
100996583	3	5	0	0	1	0
127281	291	324	248	570	517	515
79258	47	61	44	69	75	72
105378597	4	1	1	0	0	0
100287898	41	42	38	15	21	9
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	2	1	0	0	0	1
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	1	1	4	1	1	1
63976	23	20	13	15	18	15
100422968	0	0	0	0	0	0
105378606	1	0	0	1	0	0
107984909	40	33	37	18	13	25
105378605	0	0	0	1	0	0
105378604	7	11	3	23	20	8
27237	294	343	338	468	460	449
1953	3694	3971	3764	1722	1528	1533
105378608	5	4	5	3	6	3
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	992	918	882	815	755	661
49856	384	355	342	521	504	501
7161	10	13	20	18	20	15
105378610	1	1	2	2	2	1
105378609	0	0	0	0	0	0
57212	962	860	887	597	569	541
148870	8	7	5	9	5	2
388588	79	116	89	25	14	19
57470	1227	1201	1227	1616	1445	1414
9731	767	528	616	964	859	772
1677	147	87	99	187	165	161
107984910	1	1	6	9	5	3
339448	417	332	372	611	541	523
100133612	13	6	10	5	4	4
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	2	3	2	0	0	0
55966	0	0	0	1	0	0
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	0	1	0	2
261734	760	808	719	537	575	503
8514	808	786	696	537	503	440
26038	35	33	30	37	38	25
105376687	0	0	0	0	0	0
6146	7608	4677	5618	8512	7667	7105
107985733	123	113	127	107	87	75
102724450	19	19	23	8	6	9
388591	971	797	933	565	557	508
23463	1092	888	874	2378	2169	2034
148645	19	10	13	41	41	33
390992	0	0	1	0	0	0
387509	81	93	93	111	103	115
11332	1876	2543	2130	2494	2477	2154
54626	177	149	151	89	91	98
83715	1595	1863	1682	242	181	198
100422975	0	1	0	0	0	0
8718	149	165	180	185	151	141
57449	400	401	384	446	417	382
79707	275	147	183	474	422	390
80835	4	5	6	0	2	1
107984912	0	0	1	0	0	0
3104	386	399	415	384	338	309
9903	1850	2103	1873	1449	1318	1237
107984913	11	7	7	7	3	2
148479	358	223	257	396	374	341
90326	362	344	337	507	477	428
55735	1092	958	993	1943	1786	1690
100505887	0	0	1	0	0	0
110841581	4	2	3	5	3	2
23261	394	290	264	580	498	454
105376692	0	0	0	0	0	0
102725193	0	0	0	1	0	0
101928836	0	0	0	1	1	0
