id,SeriesID,gene,ctlsample,treatsample,tag
1,GSE102870_1,NR1H4,3,3,down
2,GSE102870_2,NR1H4,3,3,down
3,GSE103547,PODXL,6,6,down
4,GSE104296,ESR2,2,2,down
5,GSE108693,ESR1,3,3,down
6,GSE111507,ITGA2,4,4,down
7,GSE114052,AR,2,2,down
8,GSE117193_1,AR,3,3,down
9,GSE117193_2,AR,3,3,down
10,GSE121319_1,GPRC5A,3,3,down
11,GSE121319_2,GPRC5A,3,3,down
12,GSE126306,AR,3,3,down
13,GSE128742_1,CD274,2,2,down
14,GSE128742_2,CD274,2,2,down
15,GSE131598,TFRC,2,2,down
16,GSE132958,TNFRSF1A,2,2,down
17,GSE133012_1,ESR1,3,3,down
18,GSE133012_2,ESR1,3,3,down
19,GSE134493,ADORA1,3,3,down
20,GSE134510,CD274,4,4,down
21,GSE135028_1,ADGRE5,2,2,down
22,GSE135028_2,ADGRE5,2,2,down
23,GSE135028_3,ADGRE5,2,2,down
24,GSE135028_4,ADGRE5,2,2,down
25,GSE135312,BMPR2,3,3,down
26,GSE136807,AR,3,3,down
27,GSE138487,PROCR,3,3,down
28,GSE141783,IL6R,4,4,down
29,GSE141880,EPHA2,3,2,down
30,GSE144013,ITGAV,2,4,down
31,GSE147727,SMO,3,3,down
32,GSE149001,NR1I2,3,3,down
33,GSE152254,AR,4,4,down
34,GSE152323,ESR1,3,3,down
35,GSE153250,ESR1,6,6,down
36,GSE153657_1,TREM2,7,7,down
37,GSE153657_2,TREM2,7,8,down
38,GSE155010,F2R,5,5,down
39,GSE155552_1,ESR2,3,3,down
40,GSE155552_2,ESR2,3,3,down
41,GSE156963_1,NTNG1,2,2,down
42,GSE156963_2,NTNG1,2,2,down
43,GSE156963_3,NTNG1,2,2,down
44,GSE157635,TREM2,3,3,down
45,GSE158569_1,NOTCH2,2,2,down
46,GSE158569_2,NOTCH2,2,2,down
47,GSE158834,ADIPOR2,3,3,down
48,GSE164167,KDR,3,3,down
49,GSE165898,IL13RA2,3,3,down
50,GSE167173_1,CD274,3,3,down
51,GSE167173_2,CD274,3,3,down
52,GSE172006_1,IL13RA1,3,3,down
53,GSE172006_2,IL13RA1,3,3,down
54,GSE173120,ESR1,3,3,down
55,GSE173973,CDH11,4,4,down
56,GSE174592,LIFR,3,3,down
57,GSE178260,ITGA6,3,3,down
58,GSE178300,AR,2,2,down
59,GSE179836,FLRT2,4,4,down
60,GSE179901,EPHA2,3,3,down
61,GSE180702,ITGA5,3,3,down
62,GSE181277,CD38,2,2,down
63,GSE182386_ADGRG1,ADGRG1,2,2,down
